ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.767,0.78,0.281,0.566,0.376,0.191,0.434,1.462,16,2.0,0.003,2.0,0.05
0.769,0.322,0.144,0.968,0.25,0.763,0.032,1.462,16,2.0,0.005,0.5,0.05
0.794,0.683,0.234,0.75,0.356,0.326,0.25,1.462,16,2.0,0.005,1.0,0.05
0.793,0.825,0.342,0.533,0.417,0.136,0.467,1.462,16,2.0,0.005,2.0,0.05
0.702,0.591,0.178,0.691,0.283,0.422,0.309,9.233,32,0.8,0.001,0.5,0.05
0.708,0.575,0.176,0.713,0.282,0.443,0.287,9.233,32,0.8,0.001,1.0,0.05
0.719,0.596,0.184,0.713,0.292,0.42,0.287,9.233,32,0.8,0.001,2.0,0.05
0.727,0.574,0.183,0.765,0.296,0.451,0.235,9.233,32,0.8,0.003,0.5,0.05
0.755,0.62,0.2,0.749,0.315,0.397,0.251,9.233,32,0.8,0.003,1.0,0.05
0.738,0.666,0.214,0.693,0.327,0.337,0.307,9.233,32,0.8,0.003,2.0,0.05
0.751,0.657,0.211,0.706,0.325,0.349,0.294,9.233,32,0.8,0.005,0.5,0.05
0.77,0.602,0.198,0.787,0.316,0.423,0.213,9.233,32,0.8,0.005,1.0,0.05
0.768,0.646,0.214,0.755,0.333,0.368,0.245,9.233,32,0.8,0.005,2.0,0.05
0.684,0.568,0.17,0.696,0.274,0.449,0.304,4.839,32,1.1,0.001,0.5,0.05
0.689,0.558,0.171,0.719,0.276,0.463,0.281,4.839,32,1.1,0.001,1.0,0.05
0.719,0.599,0.185,0.713,0.294,0.416,0.287,4.839,32,1.1,0.001,2.0,0.05
0.732,0.62,0.195,0.717,0.307,0.393,0.283,4.839,32,1.1,0.003,0.5,0.05
0.74,0.684,0.219,0.664,0.33,0.314,0.336,4.839,32,1.1,0.003,1.0,0.05
0.757,0.68,0.223,0.697,0.337,0.322,0.303,4.839,32,1.1,0.003,2.0,0.05
0.779,0.583,0.196,0.823,0.316,0.449,0.177,4.839,32,1.1,0.005,0.5,0.05
0.768,0.643,0.211,0.746,0.329,0.37,0.254,4.839,32,1.1,0.005,1.0,0.05
0.767,0.637,0.207,0.745,0.325,0.377,0.255,4.839,32,1.1,0.005,2.0,0.05
0.725,0.628,0.195,0.697,0.305,0.381,0.303,3.035,32,1.5,0.001,0.5,0.05
0.709,0.64,0.19,0.634,0.292,0.359,0.366,3.035,32,1.5,0.001,1.0,0.05
0.72,0.62,0.193,0.707,0.303,0.392,0.293,3.035,32,1.5,0.001,2.0,0.05
0.751,0.61,0.194,0.74,0.308,0.407,0.26,3.035,32,1.5,0.003,0.5,0.05
0.741,0.607,0.194,0.748,0.308,0.411,0.252,3.035,32,1.5,0.003,1.0,0.05
0.744,0.626,0.198,0.72,0.311,0.386,0.28,3.035,32,1.5,0.003,2.0,0.05
0.762,0.679,0.225,0.715,0.343,0.325,0.285,3.035,32,1.5,0.005,0.5,0.05
0.758,0.626,0.204,0.758,0.322,0.392,0.242,3.035,32,1.5,0.005,1.0,0.05
0.767,0.717,0.244,0.676,0.358,0.278,0.324,3.035,32,1.5,0.005,2.0,0.05
