Feature,Importance
duration_1.0,0.40464800721763305
month,0.2591021000840168
contact_1.0,0.08926723378228797
pdays_1.0,0.07655328853010974
housing_1.0,0.07522703484117914
day_1.0,0.05000574384250846
loan_1.0,0.045196591702264935
