ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio,DP Enabled,Run
0.865,0.723,0.276,0.841,0.416,0.292,0.159,1.058,32,1.1,0.001,0.5,1.0,True,1
0.868,0.696,0.262,0.879,0.403,0.328,0.121,1.058,32,1.1,0.001,1.0,1.0,True,1
0.866,0.705,0.266,0.864,0.406,0.316,0.136,1.058,32,1.1,0.001,2.0,1.0,True,1
0.886,0.822,0.376,0.787,0.509,0.173,0.213,1.058,32,1.1,0.003,0.5,1.0,True,1
0.886,0.797,0.348,0.838,0.492,0.208,0.162,1.058,32,1.1,0.003,1.0,1.0,True,1
0.891,0.633,0.235,0.942,0.376,0.408,0.058,1.058,32,1.1,0.003,2.0,1.0,True,1
0.889,0.591,0.217,0.954,0.353,0.457,0.046,1.058,32,1.1,0.005,0.5,1.0,True,1
0.892,0.804,0.356,0.828,0.498,0.199,0.172,1.058,32,1.1,0.005,1.0,1.0,True,1
0.896,0.797,0.349,0.85,0.495,0.21,0.15,1.058,32,1.1,0.005,2.0,1.0,True,1
0.853,0.716,0.269,0.83,0.406,0.299,0.17,0.643,32,1.5,0.001,0.5,1.0,True,1
0.86,0.708,0.266,0.852,0.405,0.311,0.148,0.643,32,1.5,0.001,1.0,1.0,True,1
0.863,0.7,0.262,0.864,0.403,0.322,0.136,0.643,32,1.5,0.001,2.0,1.0,True,1
0.894,0.816,0.37,0.812,0.508,0.183,0.188,0.643,32,1.5,0.003,0.5,1.0,True,1
0.887,0.612,0.225,0.948,0.364,0.433,0.052,0.643,32,1.5,0.003,1.0,1.0,True,1
0.889,0.804,0.356,0.833,0.498,0.2,0.167,0.643,32,1.5,0.003,2.0,1.0,True,1
0.893,0.832,0.391,0.781,0.521,0.161,0.219,0.643,32,1.5,0.005,0.5,1.0,True,1
0.897,0.805,0.358,0.84,0.502,0.2,0.16,0.643,32,1.5,0.005,1.0,1.0,True,1
0.898,0.825,0.383,0.809,0.52,0.173,0.191,0.643,32,1.5,0.005,2.0,1.0,True,1
0.863,0.714,0.27,0.851,0.41,0.304,0.149,0.449,32,2.0,0.001,0.5,1.0,True,1
0.863,0.726,0.278,0.842,0.418,0.29,0.158,0.449,32,2.0,0.001,1.0,1.0,True,1
0.869,0.708,0.268,0.867,0.41,0.313,0.133,0.449,32,2.0,0.001,2.0,1.0,True,1
0.892,0.648,0.242,0.944,0.385,0.392,0.056,0.449,32,2.0,0.003,0.5,1.0,True,1
0.89,0.598,0.22,0.958,0.358,0.45,0.042,0.449,32,2.0,0.003,1.0,1.0,True,1
0.883,0.822,0.374,0.783,0.506,0.173,0.217,0.449,32,2.0,0.003,2.0,1.0,True,1
0.895,0.817,0.37,0.807,0.507,0.182,0.193,0.449,32,2.0,0.005,0.5,1.0,True,1
0.891,0.808,0.359,0.814,0.498,0.192,0.186,0.449,32,2.0,0.005,1.0,1.0,True,1
0.888,0.597,0.219,0.953,0.356,0.45,0.047,0.449,32,2.0,0.005,2.0,1.0,True,1
0.802,0.699,0.244,0.75,0.369,0.307,0.25,2.763,64,0.8,0.001,0.5,1.0,True,1
0.796,0.683,0.234,0.752,0.357,0.326,0.248,2.763,64,0.8,0.001,1.0,1.0,True,1
0.779,0.671,0.222,0.726,0.34,0.337,0.274,2.763,64,0.8,0.001,2.0,1.0,True,1
0.886,0.677,0.254,0.913,0.398,0.355,0.087,2.763,64,0.8,0.003,0.5,1.0,True,1
0.885,0.707,0.272,0.9,0.418,0.319,0.1,2.763,64,0.8,0.003,1.0,1.0,True,1
0.885,0.703,0.27,0.901,0.415,0.323,0.099,2.763,64,0.8,0.003,2.0,1.0,True,1
0.892,0.669,0.253,0.938,0.399,0.367,0.062,2.763,64,0.8,0.005,0.5,1.0,True,1
0.894,0.709,0.275,0.913,0.423,0.318,0.087,2.763,64,0.8,0.005,1.0,1.0,True,1
0.889,0.794,0.342,0.831,0.485,0.211,0.169,2.763,64,0.8,0.005,2.0,1.0,True,1
0.78,0.664,0.221,0.743,0.341,0.347,0.257,1.419,64,1.1,0.001,0.5,1.0,True,1
0.814,0.703,0.252,0.779,0.38,0.307,0.221,1.419,64,1.1,0.001,1.0,1.0,True,1
0.779,0.675,0.226,0.735,0.346,0.333,0.265,1.419,64,1.1,0.001,2.0,1.0,True,1
0.883,0.714,0.277,0.892,0.422,0.309,0.108,1.419,64,1.1,0.003,0.5,1.0,True,1
0.888,0.717,0.279,0.894,0.425,0.306,0.106,1.419,64,1.1,0.003,1.0,1.0,True,1
0.881,0.684,0.258,0.908,0.402,0.346,0.092,1.419,64,1.1,0.003,2.0,1.0,True,1
0.884,0.814,0.365,0.802,0.501,0.185,0.198,1.419,64,1.1,0.005,0.5,1.0,True,1
0.887,0.631,0.234,0.946,0.375,0.411,0.054,1.419,64,1.1,0.005,1.0,1.0,True,1
0.884,0.811,0.362,0.803,0.499,0.188,0.197,1.419,64,1.1,0.005,2.0,1.0,True,1
0.791,0.684,0.234,0.749,0.357,0.325,0.251,0.904,64,1.5,0.001,0.5,1.0,True,1
0.799,0.694,0.242,0.757,0.366,0.315,0.243,0.904,64,1.5,0.001,1.0,1.0,True,1
0.799,0.681,0.235,0.767,0.36,0.33,0.233,0.904,64,1.5,0.001,2.0,1.0,True,1
0.884,0.7,0.268,0.903,0.413,0.327,0.097,0.904,64,1.5,0.003,0.5,1.0,True,1
0.884,0.674,0.253,0.912,0.396,0.357,0.088,0.904,64,1.5,0.003,1.0,1.0,True,1
0.884,0.685,0.259,0.911,0.404,0.345,0.089,0.904,64,1.5,0.003,2.0,1.0,True,1
0.891,0.681,0.259,0.928,0.405,0.352,0.072,0.904,64,1.5,0.005,0.5,1.0,True,1
0.885,0.818,0.371,0.797,0.506,0.179,0.203,0.904,64,1.5,0.005,1.0,1.0,True,1
0.884,0.816,0.367,0.795,0.503,0.181,0.205,0.904,64,1.5,0.005,2.0,1.0,True,1
0.79,0.689,0.237,0.747,0.359,0.319,0.253,0.638,64,2.0,0.001,0.5,1.0,True,1
0.775,0.667,0.221,0.729,0.339,0.341,0.271,0.638,64,2.0,0.001,1.0,1.0,True,1
0.804,0.692,0.242,0.769,0.369,0.319,0.231,0.638,64,2.0,0.001,2.0,1.0,True,1
0.881,0.679,0.256,0.915,0.4,0.352,0.085,0.638,64,2.0,0.003,0.5,1.0,True,1
0.884,0.715,0.277,0.892,0.423,0.309,0.108,0.638,64,2.0,0.003,1.0,1.0,True,1
