ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio,DP Enabled,Run
0.73,0.66,0.207,0.671,0.316,0.342,0.329,2.105,64,2.0,0.003,1.0,0.1,True,2
0.734,0.649,0.202,0.679,0.312,0.355,0.321,2.105,64,2.0,0.003,2.0,0.1,True,2
0.747,0.676,0.216,0.675,0.328,0.324,0.325,2.105,64,2.0,0.005,0.5,0.1,True,2
0.758,0.678,0.221,0.693,0.335,0.324,0.307,2.105,64,2.0,0.005,1.0,0.1,True,2
0.755,0.701,0.23,0.664,0.342,0.294,0.336,2.105,64,2.0,0.005,2.0,0.1,True,2
0.673,0.553,0.165,0.698,0.267,0.467,0.302,13.785,128,0.8,0.001,0.5,0.1,True,2
0.701,0.561,0.178,0.759,0.288,0.465,0.241,13.785,128,0.8,0.001,1.0,0.1,True,2
0.65,0.517,0.158,0.72,0.259,0.51,0.28,13.785,128,0.8,0.001,2.0,0.1,True,2
0.722,0.647,0.202,0.68,0.311,0.357,0.32,13.785,128,0.8,0.003,0.5,0.1,True,2
0.721,0.635,0.193,0.668,0.3,0.37,0.332,13.785,128,0.8,0.003,1.0,0.1,True,2
0.722,0.664,0.207,0.664,0.316,0.336,0.336,13.785,128,0.8,0.003,2.0,0.1,True,2
0.728,0.657,0.204,0.667,0.313,0.344,0.333,13.785,128,0.8,0.005,0.5,0.1,True,2
0.739,0.654,0.209,0.706,0.323,0.353,0.294,13.785,128,0.8,0.005,1.0,0.1,True,2
0.732,0.658,0.205,0.669,0.314,0.344,0.331,13.785,128,0.8,0.005,2.0,0.1,True,2
0.67,0.529,0.165,0.748,0.271,0.5,0.252,7.17,128,1.1,0.001,0.5,0.1,True,2
0.655,0.521,0.158,0.714,0.259,0.504,0.286,7.17,128,1.1,0.001,1.0,0.1,True,2
0.655,0.558,0.165,0.687,0.267,0.459,0.313,7.17,128,1.1,0.001,2.0,0.1,True,2
0.717,0.628,0.194,0.692,0.303,0.38,0.308,7.17,128,1.1,0.003,0.5,0.1,True,2
0.716,0.619,0.192,0.705,0.302,0.392,0.295,7.17,128,1.1,0.003,1.0,0.1,True,2
0.705,0.642,0.192,0.641,0.295,0.357,0.359,7.17,128,1.1,0.003,2.0,0.1,True,2
0.732,0.652,0.201,0.663,0.308,0.349,0.337,7.17,128,1.1,0.005,0.5,0.1,True,2
0.723,0.634,0.195,0.681,0.304,0.372,0.319,7.17,128,1.1,0.005,1.0,0.1,True,2
0.735,0.66,0.211,0.695,0.323,0.345,0.305,7.17,128,1.1,0.005,2.0,0.1,True,2
0.692,0.583,0.176,0.698,0.281,0.432,0.302,4.446,128,1.5,0.001,0.5,0.1,True,2
0.685,0.56,0.174,0.734,0.281,0.463,0.266,4.446,128,1.5,0.001,1.0,0.1,True,2
0.708,0.615,0.186,0.678,0.292,0.393,0.322,4.446,128,1.5,0.001,2.0,0.1,True,2
0.708,0.618,0.189,0.687,0.296,0.391,0.313,4.446,128,1.5,0.003,0.5,0.1,True,2
0.704,0.617,0.189,0.688,0.296,0.392,0.312,4.446,128,1.5,0.003,1.0,0.1,True,2
0.712,0.63,0.189,0.658,0.294,0.373,0.342,4.446,128,1.5,0.003,2.0,0.1,True,2
0.727,0.634,0.197,0.694,0.307,0.374,0.306,4.446,128,1.5,0.005,0.5,0.1,True,2
0.712,0.625,0.19,0.672,0.296,0.381,0.328,4.446,128,1.5,0.005,1.0,0.1,True,2
0.725,0.642,0.2,0.684,0.309,0.364,0.316,4.446,128,1.5,0.005,2.0,0.1,True,2
0.674,0.587,0.172,0.664,0.273,0.423,0.336,3.051,128,2.0,0.001,0.5,0.1,True,2
0.678,0.598,0.176,0.661,0.278,0.41,0.339,3.051,128,2.0,0.001,1.0,0.1,True,2
0.648,0.555,0.164,0.683,0.265,0.461,0.317,3.051,128,2.0,0.001,2.0,0.1,True,2
0.713,0.652,0.198,0.647,0.303,0.348,0.353,3.051,128,2.0,0.003,0.5,0.1,True,2
0.715,0.64,0.2,0.695,0.311,0.367,0.305,3.051,128,2.0,0.003,1.0,0.1,True,2
0.718,0.646,0.199,0.669,0.307,0.357,0.331,3.051,128,2.0,0.003,2.0,0.1,True,2
0.73,0.639,0.198,0.682,0.307,0.367,0.318,3.051,128,2.0,0.005,0.5,0.1,True,2
0.742,0.65,0.206,0.7,0.319,0.357,0.3,3.051,128,2.0,0.005,1.0,0.1,True,2
0.733,0.647,0.204,0.698,0.316,0.36,0.302,3.051,128,2.0,0.005,2.0,0.1,True,2
0.888,0.818,0.372,0.803,0.508,0.18,0.197,inf,16,0.0,0.001,0.0,0.05,False,2
0.884,0.811,0.362,0.805,0.5,0.188,0.195,inf,16,0.0,0.003,0.0,0.05,False,2
0.884,0.813,0.363,0.795,0.498,0.185,0.205,inf,16,0.0,0.005,0.0,0.05,False,2
0.887,0.826,0.382,0.786,0.514,0.169,0.214,inf,32,0.0,0.001,0.0,0.05,False,2
0.883,0.823,0.377,0.784,0.509,0.172,0.216,inf,32,0.0,0.003,0.0,0.05,False,2
0.883,0.821,0.375,0.786,0.507,0.174,0.214,inf,32,0.0,0.005,0.0,0.05,False,2
0.888,0.833,0.392,0.779,0.522,0.16,0.221,inf,64,0.0,0.001,0.0,0.05,False,2
0.888,0.821,0.376,0.798,0.511,0.176,0.202,inf,64,0.0,0.003,0.0,0.05,False,2
0.882,0.826,0.381,0.775,0.511,0.167,0.225,inf,64,0.0,0.005,0.0,0.05,False,2
0.878,0.789,0.338,0.838,0.482,0.217,0.162,inf,128,0.0,0.001,0.0,0.05,False,2
0.881,0.83,0.386,0.768,0.514,0.162,0.232,inf,128,0.0,0.003,0.0,0.05,False,2
0.88,0.82,0.374,0.794,0.508,0.176,0.206,inf,128,0.0,0.005,0.0,0.05,False,2
0.719,0.651,0.202,0.671,0.31,0.352,0.329,6.253,16,0.8,0.001,0.5,0.05,True,2
0.715,0.659,0.198,0.627,0.301,0.337,0.373,6.253,16,0.8,0.001,1.0,0.05,True,2
0.712,0.677,0.21,0.635,0.315,0.317,0.365,6.253,16,0.8,0.001,2.0,0.05,True,2
0.765,0.721,0.245,0.664,0.358,0.272,0.336,6.253,16,0.8,0.003,0.5,0.05,True,2
0.763,0.705,0.236,0.681,0.351,0.292,0.319,6.253,16,0.8,0.003,1.0,0.05,True,2
0.76,0.698,0.231,0.679,0.345,0.299,0.321,6.253,16,0.8,0.003,2.0,0.05,True,2
0.764,0.718,0.24,0.652,0.351,0.274,0.348,6.253,16,0.8,0.005,0.5,0.05,True,2
0.764,0.724,0.24,0.63,0.348,0.264,0.37,6.253,16,0.8,0.005,1.0,0.05,True,2
0.772,0.736,0.257,0.666,0.371,0.255,0.334,6.253,16,0.8,0.005,2.0,0.05,True,2
0.728,0.648,0.203,0.687,0.314,0.357,0.313,3.296,16,1.1,0.001,0.5,0.05,True,2
0.713,0.664,0.201,0.628,0.304,0.331,0.372,3.296,16,1.1,0.001,1.0,0.05,True,2
0.708,0.637,0.192,0.655,0.297,0.366,0.345,3.296,16,1.1,0.001,2.0,0.05,True,2
0.749,0.666,0.214,0.694,0.327,0.338,0.306,3.296,16,1.1,0.003,0.5,0.05,True,2
0.753,0.712,0.237,0.658,0.348,0.281,0.342,3.296,16,1.1,0.003,1.0,0.05,True,2
0.751,0.684,0.225,0.696,0.34,0.318,0.304,3.296,16,1.1,0.003,2.0,0.05,True,2
0.78,0.81,0.32,0.551,0.405,0.155,0.449,3.296,16,1.1,0.005,0.5,0.05,True,2
0.782,0.809,0.319,0.556,0.405,0.158,0.444,3.296,16,1.1,0.005,1.0,0.05,True,2
0.762,0.767,0.268,0.576,0.366,0.208,0.424,3.296,16,1.1,0.005,2.0,0.05,True,2
0.725,0.659,0.207,0.676,0.317,0.344,0.324,2.093,16,1.5,0.001,0.5,0.05,True,2
0.716,0.656,0.2,0.647,0.306,0.343,0.353,2.093,16,1.5,0.001,1.0,0.05,True,2
0.73,0.658,0.205,0.668,0.314,0.343,0.332,2.093,16,1.5,0.001,2.0,0.05,True,2
0.762,0.71,0.238,0.674,0.352,0.286,0.326,2.093,16,1.5,0.003,0.5,0.05,True,2
0.763,0.701,0.237,0.7,0.354,0.299,0.3,2.093,16,1.5,0.003,1.0,0.05,True,2
0.763,0.726,0.248,0.662,0.361,0.266,0.338,2.093,16,1.5,0.003,2.0,0.05,True,2
0.759,0.717,0.241,0.659,0.352,0.276,0.341,2.093,16,1.5,0.005,0.5,0.05,True,2
0.772,0.735,0.256,0.664,0.369,0.256,0.336,2.093,16,1.5,0.005,1.0,0.05,True,2
0.757,0.671,0.217,0.698,0.331,0.333,0.302,2.093,16,1.5,0.005,2.0,0.05,True,2
0.71,0.661,0.196,0.612,0.297,0.332,0.388,1.462,16,2.0,0.001,0.5,0.05,True,2
0.727,0.629,0.197,0.708,0.309,0.381,0.292,1.462,16,2.0,0.001,1.0,0.05,True,2
0.719,0.646,0.202,0.686,0.312,0.359,0.314,1.462,16,2.0,0.001,2.0,0.05,True,2
0.755,0.704,0.234,0.674,0.348,0.292,0.326,1.462,16,2.0,0.003,0.5,0.05,True,2
0.752,0.701,0.231,0.664,0.342,0.294,0.336,1.462,16,2.0,0.003,1.0,0.05,True,2
0.754,0.686,0.223,0.678,0.336,0.313,0.322,1.462,16,2.0,0.003,2.0,0.05,True,2
0.777,0.789,0.295,0.575,0.389,0.182,0.425,1.462,16,2.0,0.005,0.5,0.05,True,2
0.779,0.817,0.325,0.527,0.402,0.145,0.473,1.462,16,2.0,0.005,1.0,0.05,True,2
0.758,0.716,0.24,0.659,0.352,0.276,0.341,1.462,16,2.0,0.005,2.0,0.05,True,2
0.701,0.578,0.179,0.724,0.287,0.441,0.276,9.233,32,0.8,0.001,0.5,0.05,True,2
0.717,0.643,0.197,0.666,0.304,0.36,0.334,9.233,32,0.8,0.001,1.0,0.05,True,2
0.703,0.642,0.189,0.629,0.291,0.356,0.371,9.233,32,0.8,0.001,2.0,0.05,True,2
0.756,0.645,0.209,0.731,0.325,0.366,0.269,9.233,32,0.8,0.003,0.5,0.05,True,2
0.737,0.663,0.21,0.681,0.321,0.339,0.319,9.233,32,0.8,0.003,1.0,0.05,True,2
0.733,0.643,0.203,0.702,0.315,0.365,0.298,9.233,32,0.8,0.003,2.0,0.05,True,2
0.759,0.7,0.233,0.683,0.348,0.297,0.317,9.233,32,0.8,0.005,0.5,0.05,True,2
0.761,0.677,0.223,0.708,0.339,0.327,0.292,9.233,32,0.8,0.005,1.0,0.05,True,2
0.753,0.69,0.225,0.673,0.337,0.307,0.327,9.233,32,0.8,0.005,2.0,0.05,True,2
0.709,0.602,0.182,0.686,0.287,0.409,0.314,4.839,32,1.1,0.001,0.5,0.05,True,2
0.695,0.619,0.182,0.647,0.284,0.385,0.353,4.839,32,1.1,0.001,1.0,0.05,True,2
0.695,0.621,0.184,0.653,0.287,0.384,0.347,4.839,32,1.1,0.001,2.0,0.05,True,2
0.739,0.672,0.215,0.683,0.328,0.33,0.317,4.839,32,1.1,0.003,0.5,0.05,True,2
0.736,0.694,0.222,0.644,0.33,0.299,0.356,4.839,32,1.1,0.003,1.0,0.05,True,2
0.734,0.661,0.208,0.674,0.318,0.34,0.326,4.839,32,1.1,0.003,2.0,0.05,True,2
0.76,0.69,0.229,0.693,0.344,0.31,0.307,4.839,32,1.1,0.005,0.5,0.05,True,2
0.757,0.695,0.228,0.673,0.34,0.302,0.327,4.839,32,1.1,0.005,1.0,0.05,True,2
0.756,0.676,0.219,0.694,0.333,0.327,0.306,4.839,32,1.1,0.005,2.0,0.05,True,2
0.701,0.608,0.185,0.689,0.292,0.402,0.311,3.035,32,1.5,0.001,0.5,0.05,True,2
0.716,0.602,0.186,0.709,0.294,0.412,0.291,3.035,32,1.5,0.001,1.0,0.05,True,2
0.72,0.649,0.201,0.672,0.309,0.354,0.328,3.035,32,1.5,0.001,2.0,0.05,True,2
0.737,0.662,0.207,0.667,0.316,0.339,0.333,3.035,32,1.5,0.003,0.5,0.05,True,2
0.734,0.666,0.212,0.681,0.323,0.337,0.319,3.035,32,1.5,0.003,1.0,0.05,True,2
0.746,0.643,0.205,0.716,0.319,0.367,0.284,3.035,32,1.5,0.003,2.0,0.05,True,2
0.75,0.672,0.217,0.692,0.33,0.331,0.308,3.035,32,1.5,0.005,0.5,0.05,True,2
0.759,0.712,0.238,0.664,0.351,0.281,0.336,3.035,32,1.5,0.005,1.0,0.05,True,2
0.752,0.675,0.221,0.706,0.337,0.329,0.294,3.035,32,1.5,0.005,2.0,0.05,True,2
0.697,0.588,0.18,0.708,0.287,0.428,0.292,2.105,32,2.0,0.001,0.5,0.05,True,2
0.716,0.648,0.199,0.665,0.307,0.354,0.335,2.105,32,2.0,0.001,1.0,0.05,True,2
0.68,0.562,0.171,0.713,0.276,0.458,0.287,2.105,32,2.0,0.001,2.0,0.05,True,2
0.737,0.667,0.21,0.665,0.319,0.333,0.335,2.105,32,2.0,0.003,0.5,0.05,True,2
0.73,0.639,0.197,0.681,0.306,0.366,0.319,2.105,32,2.0,0.003,1.0,0.05,True,2
0.74,0.649,0.206,0.702,0.319,0.359,0.298,2.105,32,2.0,0.003,2.0,0.05,True,2
0.745,0.692,0.225,0.666,0.336,0.304,0.334,2.105,32,2.0,0.005,0.5,0.05,True,2
0.763,0.68,0.224,0.704,0.34,0.323,0.296,2.105,32,2.0,0.005,1.0,0.05,True,2
0.75,0.689,0.225,0.68,0.339,0.309,0.32,2.105,32,2.0,0.005,2.0,0.05,True,2
0.68,0.637,0.185,0.616,0.284,0.361,0.384,13.785,64,0.8,0.001,0.5,0.05,True,2
0.651,0.532,0.153,0.663,0.249,0.485,0.337,13.785,64,0.8,0.001,1.0,0.05,True,2
0.678,0.61,0.179,0.65,0.281,0.395,0.35,13.785,64,0.8,0.001,2.0,0.05,True,2
0.704,0.661,0.199,0.628,0.302,0.335,0.372,13.785,64,0.8,0.003,0.5,0.05,True,2
0.716,0.681,0.211,0.628,0.315,0.312,0.372,13.785,64,0.8,0.003,1.0,0.05,True,2
0.714,0.662,0.199,0.626,0.302,0.334,0.374,13.785,64,0.8,0.003,2.0,0.05,True,2
0.724,0.674,0.208,0.634,0.313,0.32,0.366,13.785,64,0.8,0.005,0.5,0.05,True,2
0.717,0.692,0.215,0.617,0.319,0.298,0.383,13.785,64,0.8,0.005,1.0,0.05,True,2
0.711,0.658,0.203,0.656,0.31,0.341,0.344,13.785,64,0.8,0.005,2.0,0.05,True,2
0.693,0.597,0.179,0.681,0.283,0.415,0.319,7.17,64,1.1,0.001,0.5,0.05,True,2
0.658,0.556,0.167,0.698,0.269,0.462,0.302,7.17,64,1.1,0.001,1.0,0.05,True,2
0.688,0.548,0.171,0.741,0.277,0.477,0.259,7.17,64,1.1,0.001,2.0,0.05,True,2
0.714,0.672,0.203,0.616,0.306,0.32,0.384,7.17,64,1.1,0.003,0.5,0.05,True,2
0.714,0.668,0.203,0.629,0.307,0.327,0.371,7.17,64,1.1,0.003,1.0,0.05,True,2
0.708,0.624,0.185,0.65,0.288,0.379,0.35,7.17,64,1.1,0.003,2.0,0.05,True,2
0.712,0.66,0.201,0.638,0.305,0.337,0.362,7.17,64,1.1,0.005,0.5,0.05,True,2
0.729,0.671,0.206,0.637,0.312,0.325,0.363,7.17,64,1.1,0.005,1.0,0.05,True,2
0.732,0.667,0.207,0.652,0.314,0.331,0.348,7.17,64,1.1,0.005,2.0,0.05,True,2
0.679,0.604,0.176,0.648,0.277,0.401,0.352,4.446,64,1.5,0.001,0.5,0.05,True,2
0.688,0.625,0.181,0.626,0.281,0.375,0.374,4.446,64,1.5,0.001,1.0,0.05,True,2
0.68,0.59,0.176,0.677,0.279,0.421,0.323,4.446,64,1.5,0.001,2.0,0.05,True,2
0.706,0.632,0.19,0.658,0.295,0.371,0.342,4.446,64,1.5,0.003,0.5,0.05,True,2
0.708,0.629,0.19,0.662,0.295,0.375,0.338,4.446,64,1.5,0.003,1.0,0.05,True,2
0.712,0.64,0.196,0.669,0.303,0.364,0.331,4.446,64,1.5,0.003,2.0,0.05,True,2
0.729,0.701,0.218,0.605,0.321,0.287,0.395,4.446,64,1.5,0.005,0.5,0.05,True,2
0.722,0.655,0.203,0.666,0.311,0.346,0.334,4.446,64,1.5,0.005,1.0,0.05,True,2
0.732,0.687,0.214,0.627,0.319,0.305,0.373,4.446,64,1.5,0.005,2.0,0.05,True,2
0.665,0.57,0.169,0.684,0.271,0.446,0.316,3.051,64,2.0,0.001,0.5,0.05,True,2
0.669,0.603,0.175,0.644,0.275,0.402,0.356,3.051,64,2.0,0.001,1.0,0.05,True,2
0.659,0.552,0.165,0.694,0.266,0.466,0.306,3.051,64,2.0,0.001,2.0,0.05,True,2
0.722,0.616,0.194,0.722,0.306,0.398,0.278,3.051,64,2.0,0.003,0.5,0.05,True,2
0.709,0.651,0.192,0.614,0.292,0.344,0.386,3.051,64,2.0,0.003,1.0,0.05,True,2
0.707,0.641,0.194,0.652,0.299,0.36,0.348,3.051,64,2.0,0.003,2.0,0.05,True,2
0.732,0.679,0.209,0.629,0.314,0.315,0.371,3.051,64,2.0,0.005,0.5,0.05,True,2
0.735,0.665,0.209,0.669,0.318,0.336,0.331,3.051,64,2.0,0.005,1.0,0.05,True,2
0.727,0.672,0.208,0.644,0.315,0.324,0.356,3.051,64,2.0,0.005,2.0,0.05,True,2
0.535,0.269,0.119,0.821,0.208,0.804,0.179,20.006,128,0.8,0.001,0.5,0.05,True,2
0.623,0.438,0.148,0.802,0.251,0.61,0.198,20.006,128,0.8,0.001,1.0,0.05,True,2
0.673,0.582,0.172,0.673,0.274,0.43,0.327,20.006,128,0.8,0.001,2.0,0.05,True,2
0.688,0.618,0.184,0.661,0.288,0.388,0.339,20.006,128,0.8,0.003,0.5,0.05,True,2
0.698,0.583,0.178,0.712,0.285,0.434,0.288,20.006,128,0.8,0.003,1.0,0.05,True,2
0.674,0.585,0.173,0.671,0.275,0.426,0.329,20.006,128,0.8,0.003,2.0,0.05,True,2
0.717,0.628,0.196,0.704,0.307,0.382,0.296,20.006,128,0.8,0.005,0.5,0.05,True,2
0.699,0.631,0.186,0.641,0.289,0.371,0.359,20.006,128,0.8,0.005,1.0,0.05,True,2
0.695,0.625,0.183,0.638,0.285,0.376,0.362,20.006,128,0.8,0.005,2.0,0.05,True,2
0.675,0.644,0.181,0.58,0.276,0.348,0.42,10.708,128,1.1,0.001,0.5,0.05,True,2
0.634,0.502,0.148,0.683,0.243,0.522,0.317,10.708,128,1.1,0.001,1.0,0.05,True,2
0.676,0.548,0.168,0.724,0.273,0.475,0.276,10.708,128,1.1,0.001,2.0,0.05,True,2
0.695,0.625,0.183,0.637,0.285,0.376,0.363,10.708,128,1.1,0.003,0.5,0.05,True,2
0.683,0.6,0.178,0.667,0.281,0.409,0.333,10.708,128,1.1,0.003,1.0,0.05,True,2
0.705,0.601,0.182,0.69,0.288,0.41,0.31,10.708,128,1.1,0.003,2.0,0.05,True,2
0.702,0.63,0.186,0.642,0.289,0.372,0.358,10.708,128,1.1,0.005,0.5,0.05,True,2
0.69,0.611,0.182,0.665,0.286,0.396,0.335,10.708,128,1.1,0.005,1.0,0.05,True,2
0.712,0.637,0.197,0.683,0.306,0.37,0.317,10.708,128,1.1,0.005,2.0,0.05,True,2
0.608,0.473,0.145,0.715,0.241,0.56,0.285,6.546,128,1.5,0.001,0.5,0.05,True,2
0.619,0.474,0.146,0.724,0.243,0.56,0.276,6.546,128,1.5,0.001,1.0,0.05,True,2
0.645,0.52,0.157,0.712,0.257,0.506,0.288,6.546,128,1.5,0.001,2.0,0.05,True,2
0.708,0.622,0.186,0.663,0.291,0.383,0.337,6.546,128,1.5,0.003,0.5,0.05,True,2
0.682,0.671,0.192,0.562,0.286,0.314,0.438,6.546,128,1.5,0.003,1.0,0.05,True,2
0.692,0.615,0.183,0.66,0.286,0.391,0.34,6.546,128,1.5,0.003,2.0,0.05,True,2
0.707,0.657,0.197,0.629,0.3,0.34,0.371,6.546,128,1.5,0.005,0.5,0.05,True,2
0.715,0.646,0.204,0.699,0.316,0.362,0.301,6.546,128,1.5,0.005,1.0,0.05,True,2
0.697,0.613,0.186,0.683,0.292,0.397,0.317,6.546,128,1.5,0.005,2.0,0.05,True,2
0.685,0.598,0.175,0.656,0.276,0.41,0.344,4.464,128,2.0,0.001,0.5,0.05,True,2
0.512,0.28,0.117,0.785,0.203,0.787,0.215,4.464,128,2.0,0.001,1.0,0.05,True,2
0.604,0.683,0.161,0.405,0.23,0.281,0.595,4.464,128,2.0,0.001,2.0,0.05,True,2
0.717,0.636,0.193,0.664,0.299,0.368,0.336,4.464,128,2.0,0.003,0.5,0.05,True,2
0.673,0.623,0.179,0.619,0.278,0.376,0.381,4.464,128,2.0,0.003,1.0,0.05,True,2
0.674,0.575,0.17,0.677,0.272,0.438,0.323,4.464,128,2.0,0.003,2.0,0.05,True,2
0.713,0.646,0.197,0.657,0.303,0.356,0.343,4.464,128,2.0,0.005,0.5,0.05,True,2
0.718,0.649,0.198,0.655,0.304,0.351,0.345,4.464,128,2.0,0.005,1.0,0.05,True,2
0.708,0.655,0.194,0.615,0.295,0.34,0.385,4.464,128,2.0,0.005,2.0,0.05,True,2
0.905,0.835,0.4,0.824,0.538,0.164,0.176,inf,16,0.0,0.001,0.0,1.0,False,3
0.898,0.828,0.388,0.822,0.527,0.172,0.178,inf,16,0.0,0.003,0.0,1.0,False,3
0.901,0.826,0.387,0.836,0.529,0.175,0.164,inf,16,0.0,0.005,0.0,1.0,False,3
0.9,0.837,0.402,0.806,0.537,0.159,0.194,inf,32,0.0,0.001,0.0,1.0,False,3
0.9,0.84,0.408,0.812,0.543,0.156,0.188,inf,32,0.0,0.003,0.0,1.0,False,3
0.902,0.823,0.381,0.824,0.521,0.178,0.176,inf,32,0.0,0.005,0.0,1.0,False,3
0.896,0.823,0.383,0.838,0.526,0.179,0.162,inf,64,0.0,0.001,0.0,1.0,False,3
0.898,0.831,0.393,0.817,0.531,0.167,0.183,inf,64,0.0,0.003,0.0,1.0,False,3
0.905,0.832,0.397,0.828,0.536,0.167,0.172,inf,64,0.0,0.005,0.0,1.0,False,3
0.9,0.828,0.389,0.822,0.529,0.171,0.178,inf,128,0.0,0.001,0.0,1.0,False,3
0.9,0.826,0.387,0.835,0.528,0.175,0.165,inf,128,0.0,0.003,0.0,1.0,False,3
0.907,0.834,0.4,0.832,0.54,0.165,0.168,inf,128,0.0,0.005,0.0,1.0,False,3
0.888,0.822,0.376,0.796,0.511,0.175,0.204,1.699,16,0.8,0.001,0.5,1.0,True,3
0.884,0.814,0.365,0.802,0.502,0.185,0.198,1.699,16,0.8,0.001,1.0,1.0,True,3
0.892,0.819,0.374,0.813,0.512,0.18,0.187,1.699,16,0.8,0.001,2.0,1.0,True,3
0.9,0.83,0.391,0.805,0.526,0.166,0.195,1.699,16,0.8,0.003,0.5,1.0,True,3
0.901,0.83,0.391,0.811,0.528,0.167,0.189,1.699,16,0.8,0.003,1.0,1.0,True,3
0.901,0.833,0.394,0.792,0.527,0.161,0.208,1.699,16,0.8,0.003,2.0,1.0,True,3
0.897,0.794,0.345,0.852,0.492,0.214,0.148,1.699,16,0.8,0.005,0.5,1.0,True,3
0.901,0.835,0.398,0.806,0.533,0.161,0.194,1.699,16,0.8,0.005,1.0,1.0,True,3
0.896,0.824,0.382,0.811,0.519,0.174,0.189,1.699,16,0.8,0.005,2.0,1.0,True,3
0.891,0.823,0.379,0.803,0.515,0.174,0.197,0.849,16,1.1,0.001,0.5,1.0,True,3
0.895,0.82,0.376,0.816,0.515,0.179,0.184,0.849,16,1.1,0.001,1.0,1.0,True,3
0.893,0.814,0.368,0.823,0.508,0.188,0.177,0.849,16,1.1,0.001,2.0,1.0,True,3
0.903,0.841,0.407,0.788,0.537,0.152,0.212,0.849,16,1.1,0.003,0.5,1.0,True,3
0.897,0.801,0.354,0.848,0.499,0.205,0.152,0.849,16,1.1,0.003,1.0,1.0,True,3
0.891,0.795,0.345,0.836,0.489,0.21,0.164,0.849,16,1.1,0.003,2.0,1.0,True,3
0.901,0.821,0.379,0.827,0.52,0.18,0.173,0.849,16,1.1,0.005,0.5,1.0,True,3
0.9,0.808,0.364,0.853,0.51,0.198,0.147,0.849,16,1.1,0.005,1.0,1.0,True,3
0.904,0.846,0.415,0.784,0.543,0.146,0.216,0.849,16,1.1,0.005,2.0,1.0,True,3
0.88,0.816,0.367,0.794,0.502,0.181,0.206,0.486,16,1.5,0.001,0.5,1.0,True,3
0.893,0.812,0.366,0.824,0.507,0.189,0.176,0.486,16,1.5,0.001,1.0,1.0,True,3
0.888,0.818,0.371,0.803,0.508,0.18,0.197,0.486,16,1.5,0.001,2.0,1.0,True,3
0.898,0.811,0.366,0.836,0.509,0.192,0.164,0.486,16,1.5,0.003,0.5,1.0,True,3
0.893,0.829,0.389,0.802,0.524,0.167,0.198,0.486,16,1.5,0.003,1.0,1.0,True,3
0.876,0.843,0.406,0.736,0.524,0.143,0.264,0.486,16,1.5,0.003,2.0,1.0,True,3
0.896,0.838,0.401,0.782,0.53,0.155,0.218,0.486,16,1.5,0.005,0.5,1.0,True,3
0.904,0.833,0.397,0.815,0.534,0.164,0.185,0.486,16,1.5,0.005,1.0,1.0,True,3
0.901,0.808,0.363,0.85,0.509,0.198,0.15,0.486,16,1.5,0.005,2.0,1.0,True,3
0.877,0.809,0.358,0.797,0.494,0.189,0.203,0.32,16,2.0,0.001,0.5,1.0,True,3
0.892,0.828,0.386,0.794,0.519,0.168,0.206,0.32,16,2.0,0.001,1.0,1.0,True,3
0.886,0.815,0.367,0.807,0.505,0.184,0.193,0.32,16,2.0,0.001,2.0,1.0,True,3
0.895,0.812,0.364,0.815,0.504,0.188,0.185,0.32,16,2.0,0.003,0.5,1.0,True,3
0.891,0.804,0.355,0.833,0.498,0.2,0.167,0.32,16,2.0,0.003,1.0,1.0,True,3
0.896,0.828,0.386,0.792,0.519,0.167,0.208,0.32,16,2.0,0.003,2.0,1.0,True,3
0.902,0.834,0.396,0.797,0.529,0.161,0.203,0.32,16,2.0,0.005,0.5,1.0,True,3
0.896,0.832,0.393,0.805,0.529,0.165,0.195,0.32,16,2.0,0.005,1.0,1.0,True,3
0.893,0.816,0.369,0.806,0.506,0.183,0.194,0.32,16,2.0,0.005,2.0,1.0,True,3
0.874,0.803,0.348,0.789,0.483,0.196,0.211,2.114,32,0.8,0.001,0.5,1.0,True,3
0.875,0.81,0.358,0.788,0.493,0.187,0.212,2.114,32,0.8,0.001,1.0,1.0,True,3
0.873,0.81,0.359,0.794,0.494,0.188,0.206,2.114,32,0.8,0.001,2.0,1.0,True,3
0.889,0.82,0.374,0.799,0.51,0.177,0.201,2.114,32,0.8,0.003,0.5,1.0,True,3
0.888,0.823,0.377,0.791,0.511,0.173,0.209,2.114,32,0.8,0.003,1.0,1.0,True,3
0.886,0.817,0.369,0.794,0.503,0.18,0.206,2.114,32,0.8,0.003,2.0,1.0,True,3
0.898,0.703,0.274,0.936,0.424,0.328,0.064,2.114,32,0.8,0.005,0.5,1.0,True,3
0.891,0.825,0.381,0.797,0.515,0.172,0.203,2.114,32,0.8,0.005,1.0,1.0,True,3
0.887,0.835,0.396,0.779,0.525,0.157,0.221,2.114,32,0.8,0.005,2.0,1.0,True,3
0.872,0.781,0.327,0.82,0.467,0.224,0.18,1.058,32,1.1,0.001,0.5,1.0,True,3
0.876,0.793,0.34,0.82,0.481,0.211,0.18,1.058,32,1.1,0.001,1.0,1.0,True,3
0.869,0.775,0.318,0.809,0.457,0.23,0.191,1.058,32,1.1,0.001,2.0,1.0,True,3
