ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Config
0.865,0.872,0.462,0.578,0.513,0.089,0.422,0.32,16,2.0,0.005,1.0,"BS=16.0, Noise=2.0, LR=0.005, Clip=1.0"
0.882,0.874,0.47,0.609,0.53,0.091,0.391,0.32,16,2.0,0.005,2.0,"BS=16.0, Noise=2.0, LR=0.005, Clip=2.0"
0.742,0.673,0.216,0.681,0.328,0.328,0.319,2.114,32,0.8,0.001,0.5,"BS=32.0, Noise=0.8, LR=0.001, Clip=0.5"
0.754,0.679,0.222,0.698,0.337,0.323,0.302,2.114,32,0.8,0.001,1.0,"BS=32.0, Noise=0.8, LR=0.001, Clip=1.0"
0.746,0.66,0.21,0.687,0.321,0.343,0.313,2.114,32,0.8,0.001,2.0,"BS=32.0, Noise=0.8, LR=0.001, Clip=2.0"
0.805,0.786,0.306,0.652,0.417,0.196,0.348,2.114,32,0.8,0.003,0.5,"BS=32.0, Noise=0.8, LR=0.003, Clip=0.5"
0.873,0.849,0.415,0.702,0.522,0.131,0.298,2.114,32,0.8,0.003,1.0,"BS=32.0, Noise=0.8, LR=0.003, Clip=1.0"
0.861,0.86,0.43,0.612,0.505,0.107,0.388,2.114,32,0.8,0.003,2.0,"BS=32.0, Noise=0.8, LR=0.003, Clip=2.0"
0.871,0.839,0.397,0.731,0.515,0.147,0.269,2.114,32,0.8,0.005,0.5,"BS=32.0, Noise=0.8, LR=0.005, Clip=0.5"
0.877,0.863,0.441,0.658,0.528,0.11,0.342,2.114,32,0.8,0.005,1.0,"BS=32.0, Noise=0.8, LR=0.005, Clip=1.0"
0.772,0.75,0.266,0.644,0.376,0.236,0.356,2.114,32,0.8,0.005,2.0,"BS=32.0, Noise=0.8, LR=0.005, Clip=2.0"
0.739,0.697,0.221,0.628,0.327,0.293,0.372,1.058,32,1.1,0.001,0.5,"BS=32.0, Noise=1.1, LR=0.001, Clip=0.5"
0.749,0.664,0.214,0.701,0.328,0.341,0.299,1.058,32,1.1,0.001,1.0,"BS=32.0, Noise=1.1, LR=0.001, Clip=1.0"
0.73,0.678,0.213,0.648,0.32,0.318,0.352,1.058,32,1.1,0.001,2.0,"BS=32.0, Noise=1.1, LR=0.001, Clip=2.0"
0.875,0.866,0.449,0.638,0.527,0.104,0.362,1.058,32,1.1,0.003,0.5,"BS=32.0, Noise=1.1, LR=0.003, Clip=0.5"
0.885,0.857,0.433,0.714,0.539,0.124,0.286,1.058,32,1.1,0.003,1.0,"BS=32.0, Noise=1.1, LR=0.003, Clip=1.0"
0.876,0.852,0.421,0.712,0.529,0.13,0.288,1.058,32,1.1,0.003,2.0,"BS=32.0, Noise=1.1, LR=0.003, Clip=2.0"
0.866,0.849,0.412,0.681,0.514,0.128,0.319,1.058,32,1.1,0.005,0.5,"BS=32.0, Noise=1.1, LR=0.005, Clip=0.5"
0.825,0.845,0.391,0.585,0.469,0.121,0.415,1.058,32,1.1,0.005,1.0,"BS=32.0, Noise=1.1, LR=0.005, Clip=1.0"
0.871,0.868,0.452,0.604,0.517,0.097,0.396,1.058,32,1.1,0.005,2.0,"BS=32.0, Noise=1.1, LR=0.005, Clip=2.0"
0.797,0.732,0.262,0.71,0.382,0.265,0.29,0.643,32,1.5,0.001,0.5,"BS=32.0, Noise=1.5, LR=0.001, Clip=0.5"
0.772,0.696,0.232,0.695,0.348,0.304,0.305,0.643,32,1.5,0.001,1.0,"BS=32.0, Noise=1.5, LR=0.001, Clip=1.0"
0.743,0.684,0.22,0.666,0.331,0.313,0.334,0.643,32,1.5,0.001,2.0,"BS=32.0, Noise=1.5, LR=0.001, Clip=2.0"
0.883,0.869,0.457,0.642,0.534,0.101,0.358,0.643,32,1.5,0.003,0.5,"BS=32.0, Noise=1.5, LR=0.003, Clip=0.5"
0.87,0.868,0.454,0.619,0.524,0.099,0.381,0.643,32,1.5,0.003,1.0,"BS=32.0, Noise=1.5, LR=0.003, Clip=1.0"
0.872,0.849,0.414,0.698,0.52,0.131,0.302,0.643,32,1.5,0.003,2.0,"BS=32.0, Noise=1.5, LR=0.003, Clip=2.0"
0.852,0.872,0.46,0.56,0.505,0.087,0.44,0.643,32,1.5,0.005,0.5,"BS=32.0, Noise=1.5, LR=0.005, Clip=0.5"
0.834,0.824,0.362,0.658,0.467,0.154,0.342,0.643,32,1.5,0.005,1.0,"BS=32.0, Noise=1.5, LR=0.005, Clip=1.0"
0.887,0.852,0.422,0.711,0.529,0.129,0.289,0.643,32,1.5,0.005,2.0,"BS=32.0, Noise=1.5, LR=0.005, Clip=2.0"
0.735,0.658,0.208,0.685,0.319,0.346,0.315,0.449,32,2.0,0.001,0.5,"BS=32.0, Noise=2.0, LR=0.001, Clip=0.5"
0.765,0.691,0.228,0.688,0.343,0.308,0.312,0.449,32,2.0,0.001,1.0,"BS=32.0, Noise=2.0, LR=0.001, Clip=1.0"
0.773,0.701,0.236,0.694,0.352,0.298,0.306,0.449,32,2.0,0.001,2.0,"BS=32.0, Noise=2.0, LR=0.001, Clip=2.0"
0.878,0.847,0.411,0.716,0.522,0.136,0.284,0.449,32,2.0,0.003,0.5,"BS=32.0, Noise=2.0, LR=0.003, Clip=0.5"
0.814,0.788,0.315,0.691,0.432,0.199,0.309,0.449,32,2.0,0.003,1.0,"BS=32.0, Noise=2.0, LR=0.003, Clip=1.0"
0.842,0.828,0.371,0.669,0.477,0.151,0.331,0.449,32,2.0,0.003,2.0,"BS=32.0, Noise=2.0, LR=0.003, Clip=2.0"
0.865,0.856,0.423,0.643,0.51,0.116,0.357,0.449,32,2.0,0.005,0.5,"BS=32.0, Noise=2.0, LR=0.005, Clip=0.5"
0.882,0.869,0.457,0.623,0.527,0.098,0.377,0.449,32,2.0,0.005,1.0,"BS=32.0, Noise=2.0, LR=0.005, Clip=1.0"
0.881,0.813,0.363,0.791,0.498,0.184,0.209,0.449,32,2.0,0.005,2.0,"BS=32.0, Noise=2.0, LR=0.005, Clip=2.0"
0.764,0.685,0.227,0.705,0.344,0.318,0.295,2.763,64,0.8,0.001,0.5,"BS=64.0, Noise=0.8, LR=0.001, Clip=0.5"
0.766,0.673,0.221,0.707,0.336,0.331,0.293,2.763,64,0.8,0.001,1.0,"BS=64.0, Noise=0.8, LR=0.001, Clip=1.0"
0.745,0.661,0.212,0.698,0.325,0.344,0.302,2.763,64,0.8,0.001,2.0,"BS=64.0, Noise=0.8, LR=0.001, Clip=2.0"
