ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.723,0.671,0.207,0.638,0.312,0.324,0.362,0.91,64,2.0,0.001,0.5,0.5
0.734,0.669,0.214,0.682,0.326,0.332,0.318,0.91,64,2.0,0.001,1.0,0.5
0.752,0.673,0.217,0.691,0.331,0.33,0.309,0.91,64,2.0,0.001,2.0,0.5
0.737,0.692,0.219,0.637,0.326,0.301,0.363,0.91,64,2.0,0.003,0.5,0.5
0.743,0.682,0.218,0.666,0.329,0.316,0.334,0.91,64,2.0,0.003,1.0,0.5
0.753,0.704,0.23,0.653,0.34,0.289,0.347,0.91,64,2.0,0.003,2.0,0.5
0.753,0.702,0.23,0.658,0.34,0.292,0.342,0.91,64,2.0,0.005,0.5,0.5
0.752,0.685,0.223,0.681,0.336,0.315,0.319,0.91,64,2.0,0.005,1.0,0.5
0.772,0.702,0.237,0.698,0.354,0.298,0.302,0.91,64,2.0,0.005,2.0,0.5
0.724,0.662,0.206,0.661,0.314,0.338,0.339,5.525,128,0.8,0.001,0.5,0.5
0.742,0.679,0.218,0.673,0.329,0.32,0.327,5.525,128,0.8,0.001,1.0,0.5
0.73,0.658,0.206,0.67,0.315,0.343,0.33,5.525,128,0.8,0.001,2.0,0.5
0.74,0.673,0.21,0.651,0.318,0.325,0.349,5.525,128,0.8,0.003,0.5,0.5
0.742,0.67,0.214,0.681,0.326,0.331,0.319,5.525,128,0.8,0.003,1.0,0.5
0.742,0.685,0.221,0.669,0.332,0.313,0.331,5.525,128,0.8,0.003,2.0,0.5
0.765,0.709,0.237,0.669,0.35,0.285,0.331,5.525,128,0.8,0.005,0.5,0.5
0.745,0.673,0.217,0.687,0.33,0.329,0.313,5.525,128,0.8,0.005,1.0,0.5
0.739,0.684,0.218,0.661,0.328,0.313,0.339,5.525,128,0.8,0.005,2.0,0.5
0.737,0.654,0.206,0.686,0.317,0.35,0.314,2.918,128,1.1,0.001,0.5,0.5
0.742,0.661,0.212,0.701,0.326,0.345,0.299,2.918,128,1.1,0.001,1.0,0.5
0.732,0.637,0.202,0.71,0.314,0.372,0.29,2.918,128,1.1,0.001,2.0,0.5
0.745,0.674,0.213,0.663,0.323,0.324,0.337,2.918,128,1.1,0.003,0.5,0.5
0.731,0.671,0.21,0.655,0.318,0.326,0.345,2.918,128,1.1,0.003,1.0,0.5
0.742,0.665,0.213,0.691,0.326,0.338,0.309,2.918,128,1.1,0.003,2.0,0.5
0.73,0.697,0.218,0.618,0.323,0.293,0.382,2.918,128,1.1,0.005,0.5,0.5
0.771,0.683,0.229,0.724,0.348,0.323,0.276,2.918,128,1.1,0.005,1.0,0.5
0.73,0.67,0.209,0.654,0.317,0.328,0.346,2.918,128,1.1,0.005,2.0,0.5
0.719,0.643,0.197,0.668,0.305,0.36,0.332,1.86,128,1.5,0.001,0.5,0.5
0.731,0.69,0.217,0.631,0.322,0.303,0.369,1.86,128,1.5,0.001,1.0,0.5
0.732,0.647,0.203,0.689,0.314,0.358,0.311,1.86,128,1.5,0.001,2.0,0.5
0.724,0.668,0.207,0.647,0.314,0.329,0.353,1.86,128,1.5,0.003,0.5,0.5
0.744,0.677,0.216,0.667,0.326,0.322,0.333,1.86,128,1.5,0.003,1.0,0.5
0.704,0.667,0.201,0.618,0.303,0.326,0.382,1.86,128,1.5,0.003,2.0,0.5
0.729,0.668,0.207,0.648,0.314,0.329,0.352,1.86,128,1.5,0.005,0.5,0.5
0.734,0.679,0.216,0.664,0.326,0.319,0.336,1.86,128,1.5,0.005,1.0,0.5
0.749,0.676,0.218,0.684,0.331,0.325,0.316,1.86,128,1.5,0.005,2.0,0.5
0.725,0.648,0.205,0.696,0.316,0.358,0.304,1.302,128,2.0,0.001,0.5,0.5
0.72,0.643,0.199,0.678,0.308,0.362,0.322,1.302,128,2.0,0.001,1.0,0.5
0.72,0.649,0.201,0.671,0.309,0.354,0.329,1.302,128,2.0,0.001,2.0,0.5
0.72,0.649,0.197,0.647,0.302,0.35,0.353,1.302,128,2.0,0.003,0.5,0.5
0.74,0.673,0.215,0.678,0.327,0.327,0.322,1.302,128,2.0,0.003,1.0,0.5
0.733,0.694,0.219,0.632,0.326,0.298,0.368,1.302,128,2.0,0.003,2.0,0.5
0.751,0.687,0.224,0.681,0.337,0.313,0.319,1.302,128,2.0,0.005,0.5,0.5
0.769,0.706,0.235,0.673,0.349,0.29,0.327,1.302,128,2.0,0.005,1.0,0.5
0.746,0.694,0.226,0.666,0.338,0.302,0.334,1.302,128,2.0,0.005,2.0,0.5
0.882,0.855,0.429,0.718,0.537,0.127,0.282,inf,16,0.0,0.001,0.0,0.1
0.874,0.873,0.468,0.632,0.538,0.095,0.368,inf,16,0.0,0.003,0.0,0.1
0.882,0.861,0.439,0.682,0.534,0.115,0.318,inf,16,0.0,0.005,0.0,0.1
0.875,0.848,0.411,0.701,0.518,0.133,0.299,inf,32,0.0,0.001,0.0,0.1
0.872,0.868,0.455,0.637,0.531,0.101,0.363,inf,32,0.0,0.003,0.0,0.1
0.838,0.865,0.44,0.58,0.501,0.098,0.42,inf,32,0.0,0.005,0.0,0.1
0.871,0.85,0.416,0.704,0.523,0.131,0.296,inf,64,0.0,0.001,0.0,0.1
0.88,0.863,0.443,0.67,0.533,0.112,0.33,inf,64,0.0,0.003,0.0,0.1
0.889,0.838,0.401,0.767,0.526,0.152,0.233,inf,64,0.0,0.005,0.0,0.1
0.878,0.846,0.411,0.731,0.526,0.139,0.269,inf,128,0.0,0.001,0.0,0.1
0.883,0.858,0.435,0.706,0.538,0.121,0.294,inf,128,0.0,0.003,0.0,0.1
0.878,0.86,0.437,0.676,0.531,0.115,0.324,inf,128,0.0,0.005,0.0,0.1
0.688,0.706,0.206,0.53,0.297,0.27,0.47,4.277,16,0.8,0.001,0.5,0.1
0.737,0.704,0.225,0.623,0.33,0.285,0.377,4.277,16,0.8,0.001,1.0,0.1
0.735,0.717,0.231,0.609,0.335,0.268,0.391,4.277,16,0.8,0.001,2.0,0.1
0.749,0.723,0.235,0.607,0.339,0.261,0.393,4.277,16,0.8,0.003,0.5,0.1
0.737,0.733,0.241,0.593,0.342,0.248,0.407,4.277,16,0.8,0.003,1.0,0.1
0.762,0.794,0.295,0.545,0.383,0.173,0.455,4.277,16,0.8,0.003,2.0,0.1
0.759,0.776,0.278,0.571,0.374,0.196,0.429,4.277,16,0.8,0.005,0.5,0.1
0.76,0.807,0.306,0.509,0.382,0.153,0.491,4.277,16,0.8,0.005,1.0,0.1
0.76,0.695,0.229,0.681,0.343,0.304,0.319,4.277,16,0.8,0.005,2.0,0.1
0.714,0.679,0.206,0.609,0.308,0.311,0.391,2.266,16,1.1,0.001,0.5,0.1
0.717,0.676,0.208,0.629,0.312,0.318,0.371,2.266,16,1.1,0.001,1.0,0.1
0.703,0.695,0.209,0.577,0.306,0.29,0.423,2.266,16,1.1,0.001,2.0,0.1
0.757,0.756,0.262,0.597,0.364,0.223,0.403,2.266,16,1.1,0.003,0.5,0.1
0.736,0.727,0.241,0.617,0.346,0.258,0.383,2.266,16,1.1,0.003,1.0,0.1
0.747,0.732,0.244,0.617,0.35,0.253,0.383,2.266,16,1.1,0.003,2.0,0.1
0.761,0.759,0.265,0.601,0.368,0.22,0.399,2.266,16,1.1,0.005,0.5,0.1
0.73,0.732,0.234,0.568,0.332,0.246,0.432,2.266,16,1.1,0.005,1.0,0.1
0.758,0.74,0.25,0.612,0.355,0.243,0.388,2.266,16,1.1,0.005,2.0,0.1
0.731,0.684,0.217,0.65,0.325,0.311,0.35,1.453,16,1.5,0.001,0.5,0.1
0.723,0.699,0.218,0.607,0.321,0.289,0.393,1.453,16,1.5,0.001,1.0,0.1
0.693,0.673,0.187,0.539,0.278,0.309,0.461,1.453,16,1.5,0.001,2.0,0.1
0.777,0.777,0.287,0.611,0.39,0.201,0.389,1.453,16,1.5,0.003,0.5,0.1
0.758,0.748,0.255,0.6,0.358,0.232,0.4,1.453,16,1.5,0.003,1.0,0.1
0.743,0.761,0.257,0.551,0.351,0.211,0.449,1.453,16,1.5,0.003,2.0,0.1
0.742,0.738,0.242,0.578,0.341,0.24,0.422,1.453,16,1.5,0.005,0.5,0.1
0.769,0.818,0.326,0.52,0.401,0.143,0.48,1.453,16,1.5,0.005,1.0,0.1
0.752,0.746,0.251,0.592,0.353,0.234,0.408,1.453,16,1.5,0.005,2.0,0.1
0.713,0.664,0.204,0.645,0.31,0.334,0.355,1.021,16,2.0,0.001,0.5,0.1
0.7,0.703,0.211,0.561,0.307,0.278,0.439,1.021,16,2.0,0.001,1.0,0.1
0.74,0.69,0.219,0.646,0.327,0.305,0.354,1.021,16,2.0,0.001,2.0,0.1
0.754,0.736,0.245,0.604,0.349,0.246,0.396,1.021,16,2.0,0.003,0.5,0.1
0.729,0.714,0.227,0.602,0.33,0.271,0.398,1.021,16,2.0,0.003,1.0,0.1
0.719,0.709,0.214,0.558,0.309,0.271,0.442,1.021,16,2.0,0.003,2.0,0.1
0.762,0.797,0.299,0.544,0.386,0.169,0.456,1.021,16,2.0,0.005,0.5,0.1
0.742,0.734,0.242,0.599,0.345,0.248,0.401,1.021,16,2.0,0.005,1.0,0.1
0.745,0.812,0.306,0.476,0.373,0.143,0.524,1.021,16,2.0,0.005,2.0,0.1
0.701,0.648,0.194,0.637,0.298,0.35,0.363,6.253,32,0.8,0.001,0.5,0.1
0.7,0.672,0.2,0.6,0.3,0.318,0.4,6.253,32,0.8,0.001,1.0,0.1
0.714,0.684,0.211,0.622,0.315,0.308,0.378,6.253,32,0.8,0.001,2.0,0.1
0.714,0.683,0.21,0.62,0.314,0.308,0.38,6.253,32,0.8,0.003,0.5,0.1
0.712,0.683,0.207,0.603,0.308,0.307,0.397,6.253,32,0.8,0.003,1.0,0.1
0.738,0.741,0.241,0.561,0.337,0.235,0.439,6.253,32,0.8,0.003,2.0,0.1
0.718,0.706,0.218,0.586,0.318,0.278,0.414,6.253,32,0.8,0.005,0.5,0.1
0.75,0.755,0.256,0.577,0.355,0.222,0.423,6.253,32,0.8,0.005,1.0,0.1
0.737,0.669,0.208,0.653,0.316,0.329,0.347,6.253,32,0.8,0.005,2.0,0.1
0.708,0.669,0.207,0.648,0.314,0.329,0.352,3.296,32,1.1,0.001,0.5,0.1
0.705,0.7,0.207,0.554,0.301,0.281,0.446,3.296,32,1.1,0.001,1.0,0.1
0.668,0.665,0.185,0.546,0.276,0.319,0.454,3.296,32,1.1,0.001,2.0,0.1
0.725,0.737,0.236,0.556,0.331,0.239,0.444,3.296,32,1.1,0.003,0.5,0.1
0.722,0.698,0.217,0.607,0.32,0.29,0.393,3.296,32,1.1,0.003,1.0,0.1
0.735,0.726,0.235,0.596,0.338,0.257,0.404,3.296,32,1.1,0.003,2.0,0.1
0.753,0.797,0.295,0.529,0.379,0.167,0.471,3.296,32,1.1,0.005,0.5,0.1
0.711,0.745,0.235,0.521,0.324,0.225,0.479,3.296,32,1.1,0.005,1.0,0.1
0.73,0.744,0.237,0.535,0.329,0.228,0.465,3.296,32,1.1,0.005,2.0,0.1
0.721,0.69,0.213,0.612,0.316,0.3,0.388,2.093,32,1.5,0.001,0.5,0.1
0.691,0.674,0.198,0.586,0.296,0.314,0.414,2.093,32,1.5,0.001,1.0,0.1
0.615,0.867,0.257,0.073,0.113,0.028,0.927,2.093,32,1.5,0.001,2.0,0.1
0.74,0.728,0.234,0.585,0.335,0.253,0.415,2.093,32,1.5,0.003,0.5,0.1
0.724,0.73,0.23,0.557,0.326,0.247,0.443,2.093,32,1.5,0.003,1.0,0.1
0.71,0.772,0.247,0.462,0.322,0.186,0.538,2.093,32,1.5,0.003,2.0,0.1
0.73,0.756,0.248,0.536,0.339,0.215,0.464,2.093,32,1.5,0.005,0.5,0.1
0.767,0.767,0.272,0.593,0.373,0.21,0.407,2.093,32,1.5,0.005,1.0,0.1
0.734,0.699,0.221,0.621,0.326,0.29,0.379,2.093,32,1.5,0.005,2.0,0.1
0.721,0.679,0.208,0.62,0.311,0.313,0.38,1.462,32,2.0,0.001,0.5,0.1
0.707,0.693,0.208,0.576,0.305,0.291,0.424,1.462,32,2.0,0.001,1.0,0.1
0.711,0.683,0.214,0.641,0.321,0.312,0.359,1.462,32,2.0,0.001,2.0,0.1
0.721,0.715,0.223,0.579,0.322,0.267,0.421,1.462,32,2.0,0.003,0.5,0.1
0.723,0.752,0.234,0.495,0.318,0.214,0.505,1.462,32,2.0,0.003,1.0,0.1
0.753,0.773,0.275,0.573,0.371,0.2,0.427,1.462,32,2.0,0.003,2.0,0.1
0.755,0.792,0.289,0.532,0.374,0.174,0.468,1.462,32,2.0,0.005,0.5,0.1
0.712,0.737,0.229,0.526,0.319,0.235,0.474,1.462,32,2.0,0.005,1.0,0.1
0.745,0.7,0.225,0.642,0.334,0.292,0.358,1.462,32,2.0,0.005,2.0,0.1
0.586,0.87,0.203,0.039,0.065,0.02,0.961,9.233,64,0.8,0.001,0.5,0.1
0.674,0.659,0.186,0.569,0.281,0.33,0.431,9.233,64,0.8,0.001,1.0,0.1
0.694,0.645,0.188,0.613,0.288,0.351,0.387,9.233,64,0.8,0.001,2.0,0.1
0.746,0.68,0.217,0.664,0.327,0.318,0.336,9.233,64,0.8,0.003,0.5,0.1
0.668,0.629,0.184,0.631,0.285,0.371,0.369,9.233,64,0.8,0.003,1.0,0.1
0.716,0.695,0.214,0.6,0.315,0.292,0.4,9.233,64,0.8,0.003,2.0,0.1
0.724,0.684,0.211,0.625,0.316,0.309,0.375,9.233,64,0.8,0.005,0.5,0.1
0.739,0.724,0.237,0.612,0.342,0.261,0.388,9.233,64,0.8,0.005,1.0,0.1
0.729,0.683,0.213,0.631,0.318,0.31,0.369,9.233,64,0.8,0.005,2.0,0.1
0.704,0.676,0.198,0.582,0.296,0.312,0.418,4.839,64,1.1,0.001,0.5,0.1
0.611,0.857,0.263,0.121,0.166,0.045,0.879,4.839,64,1.1,0.001,1.0,0.1
0.601,0.628,0.16,0.511,0.243,0.357,0.489,4.839,64,1.1,0.001,2.0,0.1
0.714,0.657,0.196,0.622,0.298,0.338,0.378,4.839,64,1.1,0.003,0.5,0.1
0.716,0.681,0.205,0.597,0.305,0.308,0.403,4.839,64,1.1,0.003,1.0,0.1
0.699,0.694,0.201,0.542,0.293,0.286,0.458,4.839,64,1.1,0.003,2.0,0.1
0.708,0.706,0.217,0.578,0.315,0.277,0.422,4.839,64,1.1,0.005,0.5,0.1
0.675,0.668,0.187,0.548,0.279,0.316,0.452,4.839,64,1.1,0.005,1.0,0.1
0.717,0.709,0.22,0.585,0.32,0.275,0.415,4.839,64,1.1,0.005,2.0,0.1
0.375,0.71,0.055,0.092,0.069,0.208,0.908,3.035,64,1.5,0.001,0.5,0.1
0.564,0.862,0.216,0.07,0.106,0.034,0.93,3.035,64,1.5,0.001,1.0,0.1
0.707,0.634,0.19,0.649,0.293,0.368,0.351,3.035,64,1.5,0.001,2.0,0.1
0.716,0.685,0.205,0.586,0.303,0.302,0.414,3.035,64,1.5,0.003,0.5,0.1
0.722,0.696,0.216,0.606,0.318,0.292,0.394,3.035,64,1.5,0.003,1.0,0.1
0.714,0.687,0.208,0.594,0.308,0.3,0.406,3.035,64,1.5,0.003,2.0,0.1
0.72,0.668,0.203,0.628,0.307,0.326,0.372,3.035,64,1.5,0.005,0.5,0.1
0.713,0.717,0.221,0.56,0.317,0.262,0.44,3.035,64,1.5,0.005,1.0,0.1
0.707,0.721,0.222,0.55,0.316,0.256,0.45,3.035,64,1.5,0.005,2.0,0.1
0.692,0.661,0.191,0.588,0.288,0.33,0.412,2.105,64,2.0,0.001,0.5,0.1
0.559,0.702,0.147,0.322,0.202,0.248,0.678,2.105,64,2.0,0.001,1.0,0.1
0.586,0.84,0.242,0.174,0.202,0.072,0.826,2.105,64,2.0,0.001,2.0,0.1
0.726,0.711,0.221,0.582,0.321,0.272,0.418,2.105,64,2.0,0.003,0.5,0.1
0.728,0.714,0.229,0.61,0.333,0.272,0.39,2.105,64,2.0,0.003,1.0,0.1
0.723,0.68,0.209,0.625,0.313,0.313,0.375,2.105,64,2.0,0.003,2.0,0.1
0.701,0.701,0.209,0.56,0.305,0.28,0.44,2.105,64,2.0,0.005,0.5,0.1
0.738,0.716,0.229,0.605,0.333,0.269,0.395,2.105,64,2.0,0.005,1.0,0.1
0.745,0.722,0.238,0.622,0.344,0.264,0.378,2.105,64,2.0,0.005,2.0,0.1
0.692,0.632,0.186,0.637,0.288,0.369,0.363,13.785,128,0.8,0.001,0.5,0.1
0.679,0.592,0.176,0.676,0.279,0.419,0.324,13.785,128,0.8,0.001,1.0,0.1
0.703,0.553,0.172,0.737,0.278,0.471,0.263,13.785,128,0.8,0.001,2.0,0.1
0.693,0.66,0.192,0.593,0.29,0.331,0.407,13.785,128,0.8,0.003,0.5,0.1
0.702,0.671,0.201,0.608,0.302,0.32,0.392,13.785,128,0.8,0.003,1.0,0.1
0.685,0.646,0.185,0.595,0.282,0.347,0.405,13.785,128,0.8,0.003,2.0,0.1
0.712,0.687,0.211,0.611,0.313,0.303,0.389,13.785,128,0.8,0.005,0.5,0.1
0.725,0.688,0.215,0.627,0.32,0.303,0.373,13.785,128,0.8,0.005,1.0,0.1
0.725,0.704,0.22,0.599,0.322,0.282,0.401,13.785,128,0.8,0.005,2.0,0.1
0.688,0.64,0.19,0.633,0.292,0.359,0.367,7.17,128,1.1,0.001,0.5,0.1
0.668,0.617,0.178,0.628,0.277,0.384,0.372,7.17,128,1.1,0.001,1.0,0.1
0.687,0.618,0.186,0.672,0.292,0.389,0.328,7.17,128,1.1,0.001,2.0,0.1
0.699,0.653,0.191,0.606,0.29,0.34,0.394,7.17,128,1.1,0.003,0.5,0.1
0.703,0.656,0.194,0.612,0.294,0.338,0.388,7.17,128,1.1,0.003,1.0,0.1
0.558,0.871,0.287,0.07,0.112,0.023,0.93,7.17,128,1.1,0.003,2.0,0.1
0.728,0.696,0.221,0.63,0.327,0.295,0.37,7.17,128,1.1,0.005,0.5,0.1
0.678,0.641,0.189,0.629,0.291,0.357,0.371,7.17,128,1.1,0.005,1.0,0.1
0.704,0.678,0.206,0.613,0.308,0.314,0.387,7.17,128,1.1,0.005,2.0,0.1
0.674,0.623,0.183,0.645,0.286,0.38,0.355,4.446,128,1.5,0.001,0.5,0.1
0.443,0.808,0.108,0.089,0.098,0.097,0.911,4.446,128,1.5,0.001,1.0,0.1
0.677,0.572,0.172,0.695,0.275,0.444,0.305,4.446,128,1.5,0.001,2.0,0.1
0.712,0.677,0.205,0.611,0.307,0.314,0.389,4.446,128,1.5,0.003,0.5,0.1
0.707,0.679,0.197,0.568,0.293,0.306,0.432,4.446,128,1.5,0.003,1.0,0.1
0.703,0.673,0.199,0.59,0.297,0.315,0.41,4.446,128,1.5,0.003,2.0,0.1
0.737,0.668,0.21,0.665,0.319,0.331,0.335,4.446,128,1.5,0.005,0.5,0.1
0.641,0.621,0.166,0.556,0.256,0.37,0.444,4.446,128,1.5,0.005,1.0,0.1
0.724,0.691,0.215,0.621,0.32,0.3,0.379,4.446,128,1.5,0.005,2.0,0.1
0.664,0.602,0.171,0.626,0.269,0.402,0.374,3.051,128,2.0,0.001,0.5,0.1
0.687,0.654,0.193,0.615,0.294,0.341,0.385,3.051,128,2.0,0.001,1.0,0.1
0.579,0.837,0.186,0.116,0.143,0.068,0.884,3.051,128,2.0,0.001,2.0,0.1
0.716,0.657,0.2,0.643,0.305,0.342,0.357,3.051,128,2.0,0.003,0.5,0.1
0.668,0.644,0.18,0.574,0.274,0.347,0.426,3.051,128,2.0,0.003,1.0,0.1
0.553,0.809,0.177,0.174,0.175,0.107,0.826,3.051,128,2.0,0.003,2.0,0.1
0.735,0.694,0.22,0.634,0.327,0.298,0.366,3.051,128,2.0,0.005,0.5,0.1
0.707,0.659,0.195,0.612,0.295,0.335,0.388,3.051,128,2.0,0.005,1.0,0.1
0.714,0.678,0.209,0.629,0.314,0.316,0.371,3.051,128,2.0,0.005,2.0,0.1
0.875,0.841,0.4,0.722,0.515,0.143,0.278,inf,16,0.0,0.001,0.0,0.05
0.842,0.863,0.433,0.55,0.485,0.095,0.45,inf,16,0.0,0.003,0.0,0.05
0.881,0.829,0.384,0.766,0.512,0.163,0.234,inf,16,0.0,0.005,0.0,0.05
0.818,0.833,0.369,0.6,0.457,0.136,0.4,inf,32,0.0,0.001,0.0,0.05
0.88,0.843,0.404,0.717,0.517,0.14,0.283,inf,32,0.0,0.003,0.0,0.05
0.879,0.858,0.43,0.667,0.523,0.117,0.333,inf,32,0.0,0.005,0.0,0.05
0.785,0.752,0.272,0.669,0.387,0.237,0.331,inf,64,0.0,0.001,0.0,0.05
0.879,0.844,0.408,0.735,0.524,0.142,0.265,inf,64,0.0,0.003,0.0,0.05
0.762,0.724,0.249,0.674,0.363,0.27,0.326,inf,64,0.0,0.005,0.0,0.05
0.748,0.649,0.21,0.723,0.325,0.361,0.277,inf,128,0.0,0.001,0.0,0.05
0.868,0.865,0.444,0.63,0.521,0.104,0.37,inf,128,0.0,0.003,0.0,0.05
0.759,0.745,0.255,0.613,0.36,0.237,0.387,inf,128,0.0,0.005,0.0,0.05
0.679,0.525,0.163,0.744,0.268,0.504,0.256,6.253,16,0.8,0.001,0.5,0.05
0.72,0.686,0.205,0.586,0.304,0.301,0.414,6.253,16,0.8,0.001,1.0,0.05
0.708,0.675,0.208,0.632,0.313,0.319,0.368,6.253,16,0.8,0.001,2.0,0.05
0.748,0.736,0.245,0.604,0.349,0.246,0.396,6.253,16,0.8,0.003,0.5,0.05
0.723,0.716,0.223,0.575,0.321,0.265,0.425,6.253,16,0.8,0.003,1.0,0.05
0.749,0.762,0.262,0.571,0.36,0.213,0.429,6.253,16,0.8,0.003,2.0,0.05
0.716,0.741,0.235,0.535,0.326,0.231,0.465,6.253,16,0.8,0.005,0.5,0.05
0.71,0.739,0.23,0.523,0.319,0.232,0.477,6.253,16,0.8,0.005,1.0,0.05
0.733,0.786,0.267,0.474,0.342,0.172,0.526,6.253,16,0.8,0.005,2.0,0.05
0.71,0.685,0.204,0.584,0.303,0.301,0.416,3.296,16,1.1,0.001,0.5,0.05
0.682,0.611,0.18,0.652,0.282,0.394,0.348,3.296,16,1.1,0.001,1.0,0.05
0.698,0.7,0.208,0.557,0.303,0.281,0.443,3.296,16,1.1,0.001,2.0,0.05
0.708,0.699,0.21,0.567,0.306,0.283,0.433,3.296,16,1.1,0.003,0.5,0.05
0.729,0.696,0.219,0.624,0.325,0.294,0.376,3.296,16,1.1,0.003,1.0,0.05
0.727,0.729,0.231,0.568,0.329,0.25,0.432,3.296,16,1.1,0.003,2.0,0.05
0.739,0.744,0.245,0.567,0.342,0.232,0.433,3.296,16,1.1,0.005,0.5,0.05
0.74,0.829,0.316,0.399,0.353,0.114,0.601,3.296,16,1.1,0.005,1.0,0.05
0.743,0.681,0.217,0.665,0.328,0.317,0.335,3.296,16,1.1,0.005,2.0,0.05
0.704,0.641,0.193,0.65,0.297,0.361,0.35,2.093,16,1.5,0.001,0.5,0.05
0.708,0.68,0.206,0.606,0.307,0.31,0.394,2.093,16,1.5,0.001,1.0,0.05
0.59,0.572,0.151,0.574,0.239,0.429,0.426,2.093,16,1.5,0.001,2.0,0.05
0.741,0.685,0.22,0.664,0.33,0.312,0.336,2.093,16,1.5,0.003,0.5,0.05
0.689,0.714,0.207,0.509,0.294,0.259,0.491,2.093,16,1.5,0.003,1.0,0.05
0.727,0.654,0.206,0.684,0.316,0.35,0.316,2.093,16,1.5,0.003,2.0,0.05
0.718,0.708,0.22,0.591,0.321,0.277,0.409,2.093,16,1.5,0.005,0.5,0.05
0.741,0.728,0.24,0.611,0.344,0.256,0.389,2.093,16,1.5,0.005,1.0,0.05
0.745,0.802,0.292,0.489,0.366,0.157,0.511,2.093,16,1.5,0.005,2.0,0.05
0.643,0.607,0.166,0.587,0.259,0.391,0.413,1.462,16,2.0,0.001,0.5,0.05
0.693,0.638,0.191,0.646,0.294,0.363,0.354,1.462,16,2.0,0.001,1.0,0.05
0.723,0.637,0.195,0.673,0.303,0.368,0.327,1.462,16,2.0,0.001,2.0,0.05
0.703,0.726,0.223,0.54,0.316,0.249,0.46,1.462,16,2.0,0.003,0.5,0.05
0.744,0.72,0.229,0.587,0.329,0.262,0.413,1.462,16,2.0,0.003,1.0,0.05
0.74,0.788,0.269,0.473,0.343,0.17,0.527,1.462,16,2.0,0.003,2.0,0.05
0.707,0.819,0.266,0.311,0.287,0.114,0.689,1.462,16,2.0,0.005,0.5,0.05
0.742,0.805,0.294,0.474,0.363,0.151,0.526,1.462,16,2.0,0.005,1.0,0.05
0.627,0.721,0.185,0.408,0.255,0.238,0.592,1.462,16,2.0,0.005,2.0,0.05
0.622,0.882,0.316,0.006,0.011,0.002,0.994,9.233,32,0.8,0.001,0.5,0.05
0.495,0.882,0.067,0.001,0.002,0.002,0.999,9.233,32,0.8,0.001,1.0,0.05
0.573,0.668,0.156,0.417,0.227,0.299,0.583,9.233,32,0.8,0.001,2.0,0.05
0.718,0.678,0.208,0.623,0.312,0.315,0.377,9.233,32,0.8,0.003,0.5,0.05
0.682,0.633,0.189,0.648,0.293,0.369,0.352,9.233,32,0.8,0.003,1.0,0.05
0.709,0.738,0.223,0.497,0.308,0.23,0.503,9.233,32,0.8,0.003,2.0,0.05
0.728,0.694,0.216,0.614,0.319,0.296,0.386,9.233,32,0.8,0.005,0.5,0.05
0.71,0.688,0.21,0.601,0.311,0.3,0.399,9.233,32,0.8,0.005,1.0,0.05
0.577,0.52,0.144,0.629,0.235,0.494,0.371,9.233,32,0.8,0.005,2.0,0.05
0.664,0.587,0.173,0.669,0.275,0.424,0.331,4.839,32,1.1,0.001,0.5,0.05
0.696,0.637,0.192,0.655,0.297,0.366,0.345,4.839,32,1.1,0.001,1.0,0.05
0.676,0.67,0.192,0.566,0.287,0.316,0.434,4.839,32,1.1,0.001,2.0,0.05
0.694,0.684,0.201,0.574,0.298,0.302,0.426,4.839,32,1.1,0.003,0.5,0.05
0.685,0.645,0.185,0.596,0.282,0.349,0.404,4.839,32,1.1,0.003,1.0,0.05
0.733,0.661,0.209,0.679,0.319,0.341,0.321,4.839,32,1.1,0.003,2.0,0.05
0.714,0.665,0.203,0.633,0.307,0.33,0.367,4.839,32,1.1,0.005,0.5,0.05
0.727,0.701,0.219,0.61,0.323,0.287,0.39,4.839,32,1.1,0.005,1.0,0.05
0.72,0.697,0.211,0.581,0.31,0.288,0.419,4.839,32,1.1,0.005,2.0,0.05
0.714,0.616,0.189,0.695,0.298,0.394,0.305,3.035,32,1.5,0.001,0.5,0.05
0.688,0.594,0.176,0.673,0.279,0.417,0.327,3.035,32,1.5,0.001,1.0,0.05
0.693,0.603,0.182,0.683,0.287,0.408,0.317,3.035,32,1.5,0.001,2.0,0.05
0.727,0.668,0.206,0.644,0.312,0.328,0.356,3.035,32,1.5,0.003,0.5,0.05
0.73,0.649,0.204,0.686,0.314,0.356,0.314,3.035,32,1.5,0.003,1.0,0.05
0.719,0.671,0.209,0.652,0.317,0.326,0.348,3.035,32,1.5,0.003,2.0,0.05
0.721,0.658,0.199,0.637,0.304,0.339,0.363,3.035,32,1.5,0.005,0.5,0.05
0.725,0.702,0.219,0.6,0.32,0.284,0.4,3.035,32,1.5,0.005,1.0,0.05
0.731,0.668,0.206,0.644,0.312,0.328,0.356,3.035,32,1.5,0.005,2.0,0.05
0.664,0.687,0.193,0.524,0.282,0.291,0.476,2.105,32,2.0,0.001,0.5,0.05
0.669,0.595,0.173,0.653,0.274,0.413,0.347,2.105,32,2.0,0.001,1.0,0.05
