ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.878,0.863,0.441,0.637,0.521,0.107,0.363,1.058,32,1.1,0.003,2.0,1.0
0.862,0.865,0.441,0.588,0.504,0.099,0.412,1.058,32,1.1,0.005,0.5,1.0
0.865,0.854,0.421,0.655,0.512,0.12,0.345,1.058,32,1.1,0.005,1.0,1.0
0.832,0.847,0.397,0.596,0.477,0.12,0.404,1.058,32,1.1,0.005,2.0,1.0
0.722,0.663,0.203,0.643,0.309,0.334,0.357,0.643,32,1.5,0.001,0.5,1.0
0.764,0.687,0.225,0.685,0.339,0.313,0.315,0.643,32,1.5,0.001,1.0,1.0
0.776,0.702,0.239,0.708,0.357,0.299,0.292,0.643,32,1.5,0.001,2.0,1.0
0.882,0.847,0.413,0.731,0.528,0.138,0.269,0.643,32,1.5,0.003,0.5,1.0
0.738,0.714,0.229,0.608,0.332,0.271,0.392,0.643,32,1.5,0.003,1.0,1.0
0.796,0.753,0.275,0.676,0.391,0.236,0.324,0.643,32,1.5,0.003,2.0,1.0
0.866,0.85,0.413,0.68,0.514,0.128,0.32,0.643,32,1.5,0.005,0.5,1.0
0.868,0.862,0.438,0.618,0.513,0.105,0.382,0.643,32,1.5,0.005,1.0,1.0
0.855,0.867,0.447,0.595,0.51,0.097,0.405,0.643,32,1.5,0.005,2.0,1.0
0.782,0.696,0.236,0.712,0.354,0.306,0.288,0.449,32,2.0,0.001,0.5,1.0
0.732,0.686,0.216,0.638,0.322,0.307,0.362,0.449,32,2.0,0.001,1.0,1.0
0.863,0.806,0.351,0.768,0.482,0.188,0.232,0.449,32,2.0,0.001,2.0,1.0
0.838,0.829,0.37,0.664,0.476,0.15,0.336,0.449,32,2.0,0.003,0.5,1.0
0.874,0.865,0.445,0.641,0.525,0.106,0.359,0.449,32,2.0,0.003,1.0,1.0
