Feature,Importance
duration_0,0.4559613571123495
duration_2,0.20613679756767647
month,0.17905841527536664
campaign_1,0.04971658533920661
balance_1,0.03954143974401177
campaign_0,0.025153603856710036
loan_0,0.024775189426577915
age_3,0.01965661167810115
