Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio,DP Enabled,ROC AUC mean,ROC AUC min,ROC AUC max,Accuracy mean,Accuracy min,Accuracy max,Precision mean,Precision min,Precision max,Recall mean,Recall min,Recall max,F1 Score mean,F1 Score min,F1 Score max,Type I Error mean,Type I Error min,Type I Error max,Type II Error mean,Type II Error min,Type II Error max,Epsilon mean,Epsilon min,Epsilon max
64,0.8,0.003,1.0,0.05,True,0.716,0.701,0.74,0.654,0.611,0.694,0.201,0.183,0.216,0.651,0.584,0.724,0.306,0.285,0.325,0.346,0.291,0.404,0.349,0.276,0.416,13.785,13.785,13.785
64,0.8,0.003,1.0,0.1,True,0.735,0.719,0.743,0.645,0.585,0.675,0.204,0.186,0.215,0.696,0.66,0.755,0.315,0.299,0.327,0.361,0.325,0.438,0.304,0.245,0.34,9.233,9.233,9.233
64,0.8,0.003,1.0,0.5,True,0.828,0.793,0.849,0.731,0.634,0.766,0.274,0.227,0.303,0.771,0.697,0.882,0.404,0.361,0.435,0.274,0.234,0.398,0.229,0.118,0.303,3.813,3.813,3.813
64,0.8,0.003,1.0,1.0,True,0.887,0.884,0.89,0.776,0.691,0.828,0.331,0.263,0.385,0.844,0.787,0.91,0.473,0.408,0.518,0.233,0.166,0.338,0.156,0.09,0.213,2.763,2.763,2.763
64,0.8,0.003,2.0,0.05,True,0.718,0.706,0.727,0.645,0.598,0.668,0.197,0.185,0.205,0.662,0.612,0.733,0.304,0.291,0.319,0.357,0.329,0.42,0.338,0.267,0.388,13.785,13.785,13.785
64,0.8,0.003,2.0,0.1,True,0.738,0.72,0.752,0.644,0.577,0.672,0.204,0.18,0.215,0.703,0.672,0.744,0.316,0.29,0.33,0.364,0.328,0.444,0.297,0.256,0.328,9.233,9.233,9.233
64,0.8,0.003,2.0,0.5,True,0.828,0.814,0.846,0.746,0.656,0.863,0.29,0.232,0.434,0.746,0.57,0.839,0.412,0.363,0.493,0.254,0.099,0.369,0.254,0.161,0.43,3.813,3.813,3.813
64,0.8,0.003,2.0,1.0,True,0.887,0.884,0.891,0.784,0.682,0.842,0.342,0.258,0.405,0.83,0.748,0.921,0.48,0.404,0.526,0.222,0.145,0.35,0.17,0.079,0.252,2.763,2.763,2.763
64,0.8,0.005,0.5,0.05,True,0.732,0.724,0.741,0.662,0.611,0.717,0.207,0.196,0.229,0.666,0.6,0.752,0.316,0.305,0.332,0.339,0.267,0.408,0.334,0.248,0.4,13.785,13.785,13.785
64,0.8,0.005,0.5,0.1,True,0.756,0.745,0.765,0.652,0.595,0.688,0.212,0.192,0.23,0.725,0.685,0.764,0.328,0.306,0.347,0.358,0.315,0.427,0.275,0.236,0.315,9.233,9.233,9.233
64,0.8,0.005,0.5,0.5,True,0.871,0.844,0.881,0.807,0.732,0.884,0.366,0.279,0.504,0.751,0.421,0.853,0.479,0.416,0.518,0.186,0.055,0.279,0.249,0.147,0.579,3.813,3.813,3.813
64,0.8,0.005,0.5,1.0,True,0.886,0.874,0.895,0.794,0.669,0.83,0.351,0.253,0.387,0.817,0.766,0.938,0.487,0.399,0.519,0.209,0.165,0.367,0.183,0.062,0.234,2.763,2.763,2.763
64,0.8,0.005,1.0,0.05,True,0.728,0.717,0.742,0.661,0.613,0.705,0.207,0.193,0.229,0.664,0.606,0.725,0.315,0.303,0.337,0.339,0.287,0.401,0.336,0.275,0.394,13.785,13.785,13.785
64,0.8,0.005,1.0,0.1,True,0.756,0.748,0.765,0.658,0.614,0.683,0.215,0.2,0.226,0.723,0.691,0.784,0.331,0.317,0.343,0.35,0.319,0.408,0.277,0.216,0.309,9.233,9.233,9.233
64,0.8,0.005,1.0,0.5,True,0.874,0.857,0.882,0.798,0.666,0.882,0.357,0.246,0.497,0.771,0.482,0.896,0.477,0.385,0.517,0.199,0.065,0.365,0.229,0.104,0.518,3.813,3.813,3.813
