Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio,DP Enabled,ROC AUC mean,ROC AUC min,ROC AUC max,Accuracy mean,Accuracy min,Accuracy max,Precision mean,Precision min,Precision max,Recall mean,Recall min,Recall max,F1 Score mean,F1 Score min,F1 Score max,Type I Error mean,Type I Error min,Type I Error max,Type II Error mean,Type II Error min,Type II Error max,Epsilon mean,Epsilon min,Epsilon max
64,1.5,0.005,1.0,1.0,True,0.887,0.872,0.896,0.802,0.735,0.831,0.355,0.294,0.389,0.818,0.773,0.904,0.494,0.443,0.517,0.2,0.161,0.288,0.182,0.096,0.227,0.904,0.904,0.904
64,1.5,0.005,2.0,0.05,True,0.729,0.722,0.742,0.666,0.62,0.709,0.208,0.193,0.217,0.656,0.568,0.708,0.315,0.303,0.326,0.333,0.272,0.392,0.344,0.292,0.432,4.446,4.446,4.446
64,1.5,0.005,2.0,0.1,True,0.757,0.746,0.767,0.654,0.603,0.684,0.213,0.193,0.225,0.723,0.689,0.755,0.329,0.308,0.344,0.355,0.316,0.418,0.277,0.245,0.311,3.035,3.035,3.035
64,1.5,0.005,2.0,0.5,True,0.874,0.865,0.883,0.789,0.752,0.83,0.336,0.299,0.381,0.808,0.725,0.836,0.474,0.439,0.5,0.214,0.156,0.258,0.192,0.164,0.275,1.293,1.293,1.293
64,1.5,0.005,2.0,1.0,True,0.889,0.881,0.893,0.818,0.795,0.845,0.373,0.345,0.412,0.8,0.765,0.837,0.508,0.487,0.535,0.179,0.145,0.21,0.2,0.163,0.235,0.904,0.904,0.904
64,2.0,0.001,0.5,0.05,True,0.674,0.636,0.697,0.563,0.454,0.651,0.169,0.154,0.184,0.69,0.58,0.814,0.27,0.253,0.286,0.454,0.34,0.594,0.31,0.186,0.42,3.051,3.051,3.051
64,2.0,0.001,0.5,0.1,True,0.703,0.687,0.716,0.612,0.577,0.655,0.186,0.176,0.197,0.684,0.636,0.73,0.292,0.282,0.301,0.397,0.343,0.441,0.316,0.27,0.364,2.105,2.105,2.105
64,2.0,0.001,0.5,0.5,True,0.757,0.745,0.767,0.651,0.629,0.676,0.213,0.203,0.22,0.731,0.689,0.765,0.329,0.32,0.338,0.359,0.326,0.387,0.269,0.235,0.311,0.91,0.91,0.91
64,2.0,0.001,0.5,1.0,True,0.791,0.781,0.81,0.686,0.667,0.697,0.234,0.225,0.243,0.743,0.71,0.782,0.356,0.346,0.371,0.322,0.307,0.345,0.257,0.218,0.29,0.638,0.638,0.638
64,2.0,0.001,1.0,0.05,True,0.671,0.647,0.706,0.587,0.553,0.624,0.171,0.162,0.183,0.659,0.583,0.721,0.272,0.26,0.289,0.422,0.371,0.469,0.341,0.279,0.417,3.051,3.051,3.051
64,2.0,0.001,1.0,0.1,True,0.693,0.674,0.713,0.612,0.576,0.65,0.182,0.173,0.195,0.663,0.606,0.708,0.286,0.275,0.3,0.395,0.344,0.442,0.337,0.292,0.394,2.105,2.105,2.105
64,2.0,0.001,1.0,0.5,True,0.757,0.748,0.772,0.651,0.622,0.674,0.212,0.2,0.224,0.73,0.71,0.75,0.329,0.316,0.344,0.359,0.331,0.395,0.27,0.25,0.29,0.91,0.91,0.91
64,2.0,0.001,1.0,1.0,True,0.791,0.775,0.808,0.687,0.667,0.724,0.235,0.221,0.261,0.741,0.717,0.767,0.357,0.339,0.387,0.32,0.279,0.341,0.259,0.233,0.283,0.638,0.638,0.638
64,2.0,0.001,2.0,0.05,True,0.685,0.656,0.714,0.591,0.543,0.657,0.176,0.16,0.193,0.673,0.588,0.746,0.279,0.258,0.302,0.419,0.334,0.484,0.327,0.254,0.412,3.051,3.051,3.051
64,2.0,0.001,2.0,0.1,True,0.688,0.632,0.716,0.607,0.574,0.639,0.181,0.161,0.194,0.666,0.621,0.708,0.284,0.255,0.305,0.401,0.363,0.442,0.334,0.292,0.379,2.105,2.105,2.105
64,2.0,0.001,2.0,0.5,True,0.757,0.742,0.767,0.657,0.635,0.674,0.214,0.208,0.222,0.726,0.685,0.757,0.331,0.323,0.339,0.353,0.331,0.382,0.274,0.243,0.315,0.91,0.91,0.91
64,2.0,0.001,2.0,1.0,True,0.791,0.776,0.804,0.687,0.661,0.698,0.235,0.22,0.242,0.742,0.716,0.769,0.357,0.34,0.369,0.32,0.306,0.351,0.258,0.231,0.284,0.638,0.638,0.638
64,2.0,0.003,0.5,0.05,True,0.714,0.703,0.726,0.65,0.6,0.694,0.198,0.183,0.209,0.65,0.575,0.722,0.303,0.289,0.315,0.35,0.29,0.412,0.35,0.278,0.425,3.051,3.051,3.051
64,2.0,0.003,0.5,0.1,True,0.736,0.721,0.744,0.641,0.591,0.663,0.203,0.186,0.212,0.708,0.681,0.737,0.316,0.297,0.325,0.368,0.34,0.428,0.292,0.263,0.319,2.105,2.105,2.105
64,2.0,0.003,0.5,0.5,True,0.83,0.804,0.849,0.739,0.652,0.792,0.281,0.228,0.314,0.765,0.652,0.828,0.409,0.358,0.434,0.264,0.189,0.371,0.235,0.172,0.348,0.91,0.91,0.91
64,2.0,0.003,0.5,1.0,True,0.886,0.881,0.89,0.777,0.679,0.835,0.334,0.256,0.393,0.841,0.76,0.915,0.474,0.4,0.52,0.232,0.155,0.352,0.159,0.085,0.24,0.638,0.638,0.638
64,2.0,0.003,1.0,0.05,True,0.71,0.696,0.727,0.64,0.622,0.67,0.194,0.187,0.2,0.655,0.605,0.701,0.299,0.29,0.307,0.362,0.321,0.388,0.345,0.299,0.395,3.051,3.051,3.051
64,2.0,0.003,1.0,0.1,True,0.737,0.728,0.751,0.644,0.578,0.667,0.204,0.188,0.213,0.701,0.643,0.785,0.316,0.303,0.325,0.364,0.33,0.45,0.299,0.215,0.357,2.105,2.105,2.105
64,2.0,0.003,1.0,0.5,True,0.836,0.822,0.847,0.745,0.645,0.845,0.29,0.23,0.398,0.765,0.627,0.867,0.417,0.363,0.487,0.258,0.126,0.385,0.235,0.133,0.373,0.91,0.91,0.91
64,2.0,0.003,1.0,1.0,True,0.886,0.883,0.888,0.784,0.66,0.841,0.341,0.246,0.402,0.827,0.742,0.922,0.479,0.388,0.521,0.222,0.146,0.375,0.173,0.078,0.258,0.638,0.638,0.638
64,2.0,0.003,2.0,0.05,True,0.708,0.689,0.732,0.648,0.587,0.698,0.196,0.176,0.217,0.641,0.562,0.715,0.299,0.28,0.324,0.351,0.29,0.427,0.359,0.285,0.438,3.051,3.051,3.051
64,2.0,0.003,2.0,0.1,True,0.737,0.713,0.745,0.638,0.576,0.668,0.203,0.185,0.216,0.713,0.679,0.769,0.316,0.298,0.33,0.372,0.336,0.449,0.287,0.231,0.321,2.105,2.105,2.105
64,2.0,0.003,2.0,0.5,True,0.831,0.817,0.844,0.75,0.672,0.802,0.289,0.24,0.331,0.753,0.656,0.832,0.416,0.372,0.457,0.25,0.178,0.35,0.247,0.168,0.344,0.91,0.91,0.91
64,2.0,0.003,2.0,1.0,True,0.885,0.874,0.888,0.779,0.655,0.829,0.338,0.243,0.387,0.835,0.774,0.923,0.477,0.385,0.52,0.228,0.166,0.381,0.165,0.077,0.226,0.638,0.638,0.638
64,2.0,0.005,0.5,0.05,True,0.73,0.719,0.74,0.662,0.63,0.7,0.207,0.194,0.223,0.662,0.629,0.709,0.315,0.302,0.33,0.338,0.291,0.379,0.338,0.291,0.371,3.051,3.051,3.051
64,2.0,0.005,0.5,0.1,True,0.755,0.744,0.765,0.657,0.61,0.699,0.214,0.199,0.231,0.721,0.675,0.778,0.33,0.315,0.345,0.352,0.297,0.413,0.279,0.222,0.325,2.105,2.105,2.105
64,2.0,0.005,0.5,0.5,True,0.87,0.851,0.88,0.795,0.706,0.881,0.354,0.263,0.49,0.76,0.487,0.871,0.471,0.399,0.512,0.2,0.067,0.315,0.24,0.129,0.513,0.91,0.91,0.91
64,2.0,0.005,0.5,1.0,True,0.889,0.882,0.894,0.793,0.636,0.826,0.351,0.237,0.383,0.826,0.78,0.948,0.489,0.379,0.518,0.212,0.169,0.405,0.174,0.052,0.22,0.638,0.638,0.638
64,2.0,0.005,1.0,0.05,True,0.731,0.715,0.747,0.661,0.599,0.704,0.208,0.186,0.227,0.67,0.621,0.739,0.317,0.295,0.334,0.341,0.285,0.42,0.33,0.261,0.379,3.051,3.051,3.051
64,2.0,0.005,1.0,0.1,True,0.755,0.741,0.767,0.658,0.621,0.682,0.214,0.203,0.223,0.718,0.683,0.768,0.33,0.321,0.341,0.35,0.319,0.398,0.282,0.232,0.317,2.105,2.105,2.105
64,2.0,0.005,1.0,0.5,True,0.87,0.841,0.88,0.784,0.679,0.881,0.342,0.254,0.49,0.775,0.463,0.905,0.462,0.397,0.51,0.214,0.064,0.351,0.225,0.095,0.537,0.91,0.91,0.91
64,2.0,0.005,1.0,1.0,True,0.89,0.882,0.896,0.805,0.684,0.841,0.362,0.261,0.405,0.815,0.761,0.931,0.499,0.408,0.528,0.196,0.148,0.348,0.185,0.069,0.239,0.638,0.638,0.638
64,2.0,0.005,2.0,0.05,True,0.732,0.721,0.74,0.668,0.613,0.724,0.211,0.192,0.232,0.663,0.589,0.734,0.319,0.302,0.333,0.332,0.258,0.403,0.337,0.266,0.411,3.051,3.051,3.051
64,2.0,0.005,2.0,0.1,True,0.755,0.744,0.765,0.653,0.615,0.701,0.212,0.2,0.23,0.72,0.664,0.764,0.327,0.315,0.342,0.355,0.294,0.405,0.28,0.236,0.336,2.105,2.105,2.105
64,2.0,0.005,2.0,0.5,True,0.874,0.861,0.881,0.788,0.708,0.881,0.348,0.271,0.491,0.78,0.51,0.886,0.469,0.415,0.529,0.211,0.07,0.316,0.22,0.114,0.49,0.91,0.91,0.91
64,2.0,0.005,2.0,1.0,True,0.888,0.88,0.894,0.797,0.65,0.837,0.354,0.243,0.398,0.82,0.775,0.944,0.492,0.387,0.526,0.206,0.155,0.389,0.18,0.056,0.225,0.638,0.638,0.638
128,0.0,0.001,0.0,0.05,False,0.875,0.866,0.88,0.809,0.789,0.823,0.358,0.338,0.376,0.795,0.763,0.838,0.494,0.482,0.507,0.189,0.171,0.217,0.205,0.162,0.237,inf,inf,inf
128,0.0,0.001,0.0,0.1,False,0.884,0.876,0.89,0.811,0.788,0.824,0.364,0.337,0.379,0.815,0.788,0.846,0.503,0.482,0.516,0.19,0.172,0.22,0.185,0.154,0.212,inf,inf,inf
128,0.0,0.001,0.0,0.5,False,0.898,0.894,0.901,0.821,0.802,0.83,0.379,0.356,0.389,0.829,0.798,0.858,0.52,0.503,0.527,0.18,0.166,0.206,0.171,0.142,0.202,inf,inf,inf
128,0.0,0.001,0.0,1.0,False,0.9,0.897,0.905,0.83,0.821,0.852,0.393,0.379,0.429,0.825,0.789,0.841,0.532,0.521,0.556,0.169,0.139,0.18,0.175,0.159,0.211,inf,inf,inf
128,0.0,0.003,0.0,0.05,False,0.876,0.871,0.881,0.807,0.793,0.83,0.357,0.339,0.386,0.8,0.761,0.834,0.493,0.478,0.514,0.192,0.162,0.212,0.2,0.166,0.239,inf,inf,inf
128,0.0,0.003,0.0,0.1,False,0.885,0.878,0.889,0.819,0.803,0.832,0.374,0.355,0.392,0.801,0.777,0.835,0.51,0.495,0.523,0.178,0.162,0.201,0.199,0.165,0.223,inf,inf,inf
128,0.0,0.003,0.0,0.5,False,0.898,0.896,0.901,0.821,0.804,0.833,0.38,0.358,0.398,0.834,0.807,0.853,0.522,0.504,0.537,0.181,0.166,0.203,0.166,0.147,0.193,inf,inf,inf
128,0.0,0.003,0.0,1.0,False,0.9,0.894,0.905,0.829,0.821,0.835,0.391,0.379,0.4,0.828,0.812,0.844,0.531,0.521,0.538,0.171,0.163,0.18,0.172,0.156,0.188,inf,inf,inf
128,0.0,0.005,0.0,0.05,False,0.877,0.864,0.882,0.81,0.783,0.825,0.361,0.33,0.378,0.799,0.772,0.836,0.497,0.474,0.51,0.188,0.168,0.225,0.201,0.164,0.228,inf,inf,inf
128,0.0,0.005,0.0,0.1,False,0.885,0.878,0.888,0.807,0.784,0.839,0.359,0.334,0.401,0.815,0.771,0.849,0.498,0.479,0.528,0.194,0.153,0.225,0.185,0.151,0.229,inf,inf,inf
128,0.0,0.005,0.0,0.5,False,0.899,0.894,0.903,0.825,0.814,0.834,0.385,0.37,0.396,0.825,0.802,0.853,0.525,0.513,0.534,0.175,0.162,0.19,0.175,0.147,0.198,inf,inf,inf
128,0.0,0.005,0.0,1.0,False,0.902,0.897,0.907,0.827,0.82,0.838,0.389,0.379,0.404,0.833,0.811,0.847,0.53,0.523,0.54,0.174,0.159,0.183,0.167,0.153,0.189,inf,inf,inf
128,0.8,0.001,0.5,0.05,True,0.619,0.535,0.707,0.438,0.269,0.645,0.146,0.119,0.194,0.757,0.647,0.879,0.243,0.208,0.299,0.605,0.356,0.804,0.243,0.121,0.353,20.006,20.006,20.006
128,0.8,0.001,0.5,0.1,True,0.669,0.631,0.692,0.573,0.473,0.629,0.169,0.151,0.181,0.673,0.598,0.761,0.27,0.253,0.285,0.441,0.367,0.565,0.327,0.239,0.402,13.785,13.785,13.785
128,0.8,0.001,0.5,0.5,True,0.732,0.717,0.75,0.645,0.618,0.665,0.202,0.192,0.213,0.687,0.656,0.733,0.312,0.297,0.331,0.361,0.336,0.394,0.313,0.267,0.344,5.525,5.525,5.525
128,0.8,0.001,0.5,1.0,True,0.757,0.745,0.765,0.656,0.642,0.673,0.214,0.208,0.224,0.724,0.701,0.753,0.33,0.323,0.342,0.353,0.334,0.372,0.276,0.247,0.299,3.813,3.813,3.813
128,0.8,0.001,1.0,0.05,True,0.651,0.615,0.715,0.526,0.39,0.64,0.16,0.138,0.194,0.701,0.518,0.802,0.259,0.235,0.3,0.497,0.363,0.664,0.299,0.198,0.482,20.006,20.006,20.006
128,0.8,0.001,1.0,0.1,True,0.67,0.65,0.701,0.558,0.493,0.593,0.168,0.157,0.178,0.702,0.638,0.766,0.271,0.261,0.288,0.461,0.412,0.543,0.298,0.234,0.362,13.785,13.785,13.785
128,0.8,0.001,1.0,0.5,True,0.733,0.715,0.754,0.642,0.626,0.661,0.202,0.191,0.209,0.696,0.67,0.728,0.313,0.297,0.325,0.365,0.343,0.383,0.304,0.272,0.33,5.525,5.525,5.525
128,0.8,0.001,1.0,1.0,True,0.758,0.75,0.765,0.657,0.637,0.675,0.215,0.207,0.223,0.725,0.705,0.744,0.331,0.324,0.341,0.352,0.331,0.377,0.275,0.256,0.295,3.813,3.813,3.813
128,0.8,0.001,2.0,0.05,True,0.643,0.58,0.68,0.506,0.322,0.63,0.156,0.125,0.181,0.704,0.614,0.86,0.253,0.215,0.281,0.52,0.368,0.74,0.296,0.14,0.386,20.006,20.006,20.006
128,0.8,0.001,2.0,0.1,True,0.679,0.65,0.705,0.554,0.451,0.631,0.169,0.151,0.182,0.708,0.599,0.796,0.272,0.253,0.288,0.466,0.365,0.594,0.292,0.204,0.401,13.785,13.785,13.785
128,0.8,0.001,2.0,0.5,True,0.733,0.718,0.743,0.641,0.625,0.653,0.202,0.195,0.207,0.699,0.679,0.727,0.313,0.303,0.321,0.366,0.353,0.387,0.301,0.273,0.321,5.525,5.525,5.525
128,0.8,0.001,2.0,1.0,True,0.759,0.751,0.766,0.659,0.641,0.675,0.215,0.207,0.222,0.724,0.701,0.745,0.332,0.322,0.339,0.35,0.33,0.371,0.276,0.255,0.299,3.813,3.813,3.813
128,0.8,0.003,0.5,0.05,True,0.691,0.666,0.718,0.611,0.539,0.669,0.183,0.17,0.205,0.666,0.615,0.776,0.286,0.271,0.31,0.396,0.327,0.493,0.334,0.224,0.385,20.006,20.006,20.006
128,0.8,0.003,0.5,0.1,True,0.713,0.702,0.726,0.632,0.586,0.652,0.193,0.183,0.202,0.671,0.644,0.732,0.3,0.29,0.311,0.373,0.347,0.433,0.329,0.268,0.356,13.785,13.785,13.785
128,0.8,0.003,0.5,0.5,True,0.775,0.767,0.783,0.668,0.637,0.704,0.222,0.21,0.238,0.731,0.677,0.76,0.34,0.328,0.354,0.341,0.293,0.38,0.269,0.24,0.323,5.525,5.525,5.525
128,0.8,0.003,0.5,1.0,True,0.83,0.813,0.842,0.72,0.674,0.751,0.266,0.241,0.289,0.786,0.723,0.83,0.397,0.373,0.421,0.289,0.246,0.346,0.214,0.17,0.277,3.813,3.813,3.813
128,0.8,0.003,1.0,0.05,True,0.695,0.672,0.71,0.601,0.552,0.671,0.18,0.168,0.2,0.676,0.592,0.753,0.284,0.268,0.301,0.409,0.32,0.475,0.324,0.247,0.408,20.006,20.006,20.006
128,0.8,0.003,1.0,0.1,True,0.715,0.692,0.73,0.626,0.572,0.652,0.191,0.174,0.202,0.679,0.648,0.732,0.298,0.275,0.311,0.381,0.35,0.449,0.321,0.268,0.352,13.785,13.785,13.785
128,0.8,0.003,1.0,0.5,True,0.77,0.759,0.784,0.662,0.63,0.691,0.219,0.207,0.228,0.732,0.681,0.776,0.337,0.325,0.345,0.348,0.307,0.388,0.268,0.224,0.319,5.525,5.525,5.525
128,0.8,0.003,1.0,1.0,True,0.834,0.823,0.847,0.728,0.659,0.803,0.275,0.231,0.34,0.783,0.728,0.823,0.405,0.361,0.463,0.28,0.187,0.363,0.217,0.177,0.272,3.813,3.813,3.813
128,0.8,0.003,2.0,0.05,True,0.685,0.659,0.699,0.6,0.573,0.63,0.177,0.17,0.186,0.665,0.592,0.729,0.28,0.265,0.291,0.409,0.371,0.447,0.335,0.271,0.408,20.006,20.006,20.006
128,0.8,0.003,2.0,0.1,True,0.714,0.7,0.726,0.627,0.578,0.664,0.193,0.18,0.207,0.683,0.627,0.756,0.301,0.287,0.318,0.38,0.336,0.443,0.317,0.244,0.373,13.785,13.785,13.785
128,0.8,0.003,2.0,0.5,True,0.77,0.759,0.779,0.668,0.646,0.717,0.221,0.213,0.24,0.726,0.652,0.758,0.339,0.332,0.351,0.34,0.274,0.368,0.274,0.242,0.348,5.525,5.525,5.525
128,0.8,0.003,2.0,1.0,True,0.83,0.816,0.852,0.725,0.668,0.794,0.272,0.233,0.328,0.776,0.729,0.804,0.401,0.361,0.459,0.282,0.198,0.349,0.224,0.196,0.271,3.813,3.813,3.813
128,0.8,0.005,0.5,0.05,True,0.703,0.671,0.717,0.627,0.594,0.668,0.188,0.167,0.199,0.659,0.597,0.712,0.292,0.264,0.307,0.377,0.322,0.416,0.341,0.288,0.403,20.006,20.006,20.006
128,0.8,0.005,0.5,0.1,True,0.734,0.723,0.748,0.65,0.595,0.687,0.204,0.187,0.221,0.68,0.652,0.735,0.313,0.298,0.331,0.354,0.31,0.423,0.32,0.265,0.348,13.785,13.785,13.785
128,0.8,0.005,0.5,0.5,True,0.805,0.787,0.822,0.712,0.616,0.804,0.259,0.213,0.317,0.74,0.586,0.844,0.38,0.34,0.423,0.291,0.167,0.414,0.26,0.156,0.414,5.525,5.525,5.525
128,0.8,0.005,0.5,1.0,True,0.872,0.862,0.882,0.789,0.637,0.867,0.347,0.234,0.451,0.787,0.632,0.922,0.475,0.373,0.527,0.211,0.102,0.401,0.213,0.078,0.368,3.813,3.813,3.813
128,0.8,0.005,1.0,0.05,True,0.707,0.699,0.724,0.636,0.6,0.67,0.192,0.177,0.204,0.655,0.613,0.734,0.296,0.28,0.308,0.367,0.323,0.415,0.345,0.266,0.387,20.006,20.006,20.006
128,0.8,0.005,1.0,0.1,True,0.731,0.716,0.745,0.637,0.588,0.668,0.2,0.185,0.212,0.695,0.637,0.742,0.31,0.296,0.323,0.371,0.331,0.433,0.305,0.258,0.363,13.785,13.785,13.785
128,0.8,0.005,1.0,0.5,True,0.804,0.794,0.824,0.713,0.665,0.835,0.259,0.227,0.367,0.736,0.567,0.784,0.379,0.351,0.445,0.29,0.13,0.35,0.264,0.216,0.433,5.525,5.525,5.525
128,0.8,0.005,1.0,1.0,True,0.876,0.868,0.882,0.764,0.617,0.855,0.326,0.225,0.425,0.821,0.686,0.927,0.459,0.362,0.525,0.243,0.123,0.424,0.179,0.073,0.314,3.813,3.813,3.813
128,0.8,0.005,2.0,0.05,True,0.703,0.677,0.73,0.635,0.585,0.681,0.191,0.18,0.209,0.654,0.591,0.714,0.296,0.281,0.313,0.368,0.311,0.432,0.346,0.286,0.409,20.006,20.006,20.006
128,0.8,0.005,2.0,0.1,True,0.728,0.704,0.742,0.645,0.574,0.675,0.202,0.178,0.216,0.684,0.64,0.732,0.311,0.287,0.328,0.36,0.324,0.447,0.316,0.268,0.36,13.785,13.785,13.785
128,0.8,0.005,2.0,0.5,True,0.813,0.802,0.827,0.715,0.616,0.841,0.264,0.213,0.383,0.749,0.582,0.85,0.385,0.341,0.462,0.29,0.124,0.415,0.251,0.15,0.418,5.525,5.525,5.525
128,0.8,0.005,2.0,1.0,True,0.876,0.865,0.88,0.764,0.607,0.867,0.332,0.219,0.45,0.807,0.612,0.918,0.459,0.353,0.528,0.242,0.099,0.434,0.193,0.082,0.388,3.813,3.813,3.813
128,1.1,0.001,0.5,0.05,True,0.653,0.633,0.676,0.528,0.315,0.644,0.159,0.136,0.181,0.695,0.58,0.907,0.258,0.237,0.276,0.494,0.348,0.763,0.305,0.093,0.42,10.708,10.708,10.708
128,1.1,0.001,0.5,0.1,True,0.673,0.627,0.702,0.55,0.44,0.628,0.169,0.148,0.185,0.723,0.64,0.794,0.274,0.249,0.287,0.473,0.373,0.607,0.277,0.206,0.36,7.17,7.17,7.17
128,1.1,0.001,0.5,0.5,True,0.731,0.723,0.742,0.646,0.625,0.663,0.203,0.196,0.208,0.693,0.647,0.73,0.314,0.306,0.322,0.36,0.337,0.387,0.307,0.27,0.353,2.918,2.918,2.918
128,1.1,0.001,0.5,1.0,True,0.759,0.748,0.773,0.66,0.642,0.677,0.216,0.207,0.225,0.723,0.705,0.744,0.333,0.321,0.344,0.348,0.327,0.371,0.277,0.256,0.295,2.013,2.013,2.013
128,1.1,0.001,1.0,0.05,True,0.624,0.532,0.688,0.499,0.389,0.606,0.15,0.119,0.181,0.686,0.612,0.772,0.245,0.202,0.286,0.525,0.395,0.647,0.314,0.228,0.388,10.708,10.708,10.708
128,1.1,0.001,1.0,0.1,True,0.666,0.643,0.692,0.541,0.376,0.632,0.164,0.143,0.187,0.699,0.633,0.864,0.265,0.238,0.29,0.479,0.369,0.689,0.301,0.136,0.367,7.17,7.17,7.17
128,1.1,0.001,1.0,0.5,True,0.732,0.72,0.744,0.645,0.615,0.664,0.202,0.193,0.211,0.689,0.646,0.73,0.313,0.303,0.324,0.361,0.335,0.4,0.311,0.27,0.354,2.918,2.918,2.918
128,1.1,0.001,1.0,1.0,True,0.758,0.751,0.764,0.657,0.649,0.679,0.215,0.21,0.225,0.728,0.711,0.747,0.332,0.326,0.342,0.352,0.325,0.361,0.272,0.253,0.289,2.013,2.013,2.013
128,1.1,0.001,2.0,0.05,True,0.666,0.62,0.693,0.553,0.455,0.642,0.167,0.148,0.184,0.698,0.581,0.769,0.269,0.248,0.287,0.466,0.35,0.587,0.302,0.231,0.419,10.708,10.708,10.708
128,1.1,0.001,2.0,0.1,True,0.673,0.652,0.703,0.567,0.522,0.614,0.17,0.155,0.185,0.692,0.642,0.766,0.272,0.254,0.294,0.45,0.39,0.509,0.308,0.234,0.358,7.17,7.17,7.17
128,1.1,0.001,2.0,0.5,True,0.732,0.726,0.738,0.644,0.628,0.66,0.203,0.198,0.209,0.695,0.675,0.716,0.314,0.309,0.323,0.362,0.343,0.383,0.305,0.284,0.325,2.918,2.918,2.918
128,1.1,0.001,2.0,1.0,True,0.755,0.745,0.764,0.658,0.643,0.673,0.215,0.207,0.221,0.723,0.693,0.745,0.331,0.321,0.34,0.351,0.329,0.37,0.277,0.255,0.307,2.013,2.013,2.013
128,1.1,0.003,0.5,0.05,True,0.692,0.646,0.723,0.604,0.552,0.631,0.18,0.168,0.195,0.669,0.563,0.731,0.283,0.261,0.307,0.405,0.365,0.47,0.331,0.269,0.437,10.708,10.708,10.708
128,1.1,0.003,0.5,0.1,True,0.716,0.705,0.736,0.636,0.603,0.664,0.196,0.185,0.207,0.676,0.646,0.716,0.303,0.289,0.316,0.369,0.336,0.412,0.324,0.284,0.354,7.17,7.17,7.17
128,1.1,0.003,0.5,0.5,True,0.773,0.76,0.782,0.669,0.648,0.724,0.223,0.214,0.251,0.731,0.682,0.764,0.342,0.33,0.367,0.339,0.27,0.367,0.269,0.236,0.318,2.918,2.918,2.918
128,1.1,0.003,0.5,1.0,True,0.832,0.809,0.854,0.721,0.673,0.754,0.267,0.244,0.287,0.783,0.702,0.858,0.398,0.372,0.422,0.287,0.239,0.352,0.217,0.142,0.298,2.013,2.013,2.013
128,1.1,0.003,1.0,0.05,True,0.694,0.68,0.725,0.597,0.517,0.666,0.179,0.165,0.195,0.679,0.593,0.779,0.283,0.271,0.294,0.414,0.324,0.517,0.321,0.221,0.407,10.708,10.708,10.708
128,1.1,0.003,1.0,0.1,True,0.71,0.684,0.726,0.632,0.588,0.678,0.193,0.176,0.208,0.669,0.626,0.705,0.299,0.279,0.317,0.373,0.315,0.427,0.331,0.295,0.374,7.17,7.17,7.17
128,1.1,0.003,1.0,0.5,True,0.773,0.759,0.787,0.67,0.633,0.741,0.224,0.207,0.263,0.73,0.673,0.775,0.342,0.324,0.378,0.338,0.25,0.382,0.27,0.225,0.327,2.918,2.918,2.918
128,1.1,0.003,1.0,1.0,True,0.836,0.816,0.853,0.724,0.659,0.774,0.272,0.236,0.313,0.791,0.732,0.858,0.403,0.364,0.446,0.285,0.222,0.367,0.209,0.142,0.268,2.013,2.013,2.013
128,1.1,0.003,2.0,0.05,True,0.697,0.677,0.717,0.606,0.52,0.667,0.182,0.162,0.202,0.668,0.59,0.745,0.285,0.266,0.306,0.402,0.328,0.51,0.332,0.255,0.41,10.708,10.708,10.708
128,1.1,0.003,2.0,0.1,True,0.714,0.699,0.73,0.637,0.58,0.669,0.196,0.183,0.21,0.672,0.629,0.749,0.303,0.292,0.319,0.367,0.327,0.442,0.328,0.251,0.371,7.17,7.17,7.17
128,1.1,0.003,2.0,0.5,True,0.77,0.756,0.782,0.668,0.639,0.723,0.221,0.209,0.249,0.724,0.68,0.761,0.339,0.326,0.364,0.339,0.272,0.377,0.276,0.239,0.32,2.918,2.918,2.918
128,1.1,0.003,2.0,1.0,True,0.831,0.812,0.851,0.72,0.67,0.755,0.266,0.237,0.297,0.784,0.729,0.82,0.397,0.368,0.432,0.289,0.244,0.35,0.216,0.18,0.271,2.013,2.013,2.013
128,1.1,0.005,0.5,0.05,True,0.706,0.689,0.722,0.631,0.574,0.673,0.19,0.171,0.206,0.659,0.61,0.723,0.295,0.274,0.31,0.373,0.321,0.44,0.341,0.277,0.39,10.708,10.708,10.708
128,1.1,0.005,0.5,0.1,True,0.731,0.723,0.739,0.644,0.603,0.67,0.203,0.193,0.213,0.694,0.663,0.753,0.314,0.307,0.323,0.363,0.33,0.417,0.306,0.247,0.337,7.17,7.17,7.17
128,1.1,0.005,0.5,0.5,True,0.811,0.788,0.829,0.713,0.608,0.843,0.262,0.213,0.384,0.745,0.568,0.874,0.383,0.343,0.458,0.291,0.121,0.427,0.255,0.126,0.432,2.918,2.918,2.918
128,1.1,0.005,0.5,1.0,True,0.877,0.869,0.883,0.751,0.621,0.857,0.317,0.225,0.429,0.828,0.668,0.916,0.45,0.361,0.522,0.26,0.118,0.418,0.172,0.084,0.332,2.013,2.013,2.013
128,1.1,0.005,1.0,0.05,True,0.703,0.69,0.709,0.637,0.582,0.684,0.192,0.18,0.208,0.65,0.606,0.726,0.295,0.286,0.31,0.365,0.306,0.437,0.35,0.274,0.394,10.708,10.708,10.708
128,1.1,0.005,1.0,0.1,True,0.726,0.722,0.736,0.641,0.579,0.673,0.2,0.186,0.208,0.684,0.636,0.767,0.309,0.299,0.316,0.365,0.322,0.446,0.316,0.233,0.364,7.17,7.17,7.17
